"klasifikasi","x"
"Netral","gor dosis kuota dosis juanda terminal sinov"
"Netral","vaksin sinovac vaksin indonesia lawan palsu vaksin"
"Netral","sd selesai serka joko waliman babinsa ds bendo koramil sukodono lakgiat pendampin"
"Positif","informasi vaksin gratis kota palangkaraya kalimantan sinovac kurio"
"Netral","sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat damping"
"Positif","jog informasi vaksin sinovac kalauboleh lengkap mesti bawa lokasi vaksin a"
"Netral","gor dosis kuota dosis juanda terminal"
"Negatif","vaksin sinovac alergi kambuh bersin bidur mata gatel eksim kambuh"
"Netral","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube h"
"Positif","informasi vaksin sinovac luar ktp bandung kalauada jadwal vaksin besok gas terima kasih"
"Negatif","pasca vaksin sinovac dosis bulan kontak terkonfirm"
"Positif","malam ambil vaksin sinovac suami alhamdulillah rsa okay jedoakan sihat moga vaksin penawar"
"Netral","kelmarin ternampak iklan klinik swasta cucuk vaksin sinovac dosis rm n maigaddd fre"
"Netral","vaksin jenis sinovac pfizer langsung dateng rskh jatiasih temen"
"Positif","suntik vaksin sinovac sekolah alhamdulillah sehat pei hadeh orang"
"Netral","vaksin sinovac mana"
"Negatif","vaksin sinovac balas tolong tangerang"
"Netral","proses manfaat vaksin sinovac lawan palsu vaksin"
"Positif","vaksin sinovac dosis alami ayok bagi vaksin"
"Positif","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac astr"
"Netral","mas dapat sinovac kmren murid vaksin dapat pei mdern kipi nya"
"Positif","dosis sinovac mulaitahun ktpdomisili bebas khusus pesea syarat vaksin sin"
"Negatif","tidak vaksin sinovac efek nya ngantuk parah laper"
"Positif","malaysia terima bekal ama vaksin coronavac liter hantar k"
"Negatif","orang nyebar palsu suntik vaksin covid sinovac kali sekolah alhamdulillah sehat pei"
"Negatif","vaksin sinovac aman booster moderna langsung hareudang"
"Positif","vaksin sinovac aman"
"Positif","sumber langsung biar baca"
"Negatif","informasi vaksin sinovac dosis malang"
"Negatif","rausah kakean polah asline iki ultraman mergo vaksin sinovac kuat ilang"
"Positif","vaksin pasti jenis vaksin sinovaccorona vac jarak vaksin ama vaksin"
"Positif","kabar vaksin sinovac vaksin sinovac dosis bukti hasil antibodi menetralisir varian"
"Negatif","gejala vaksin moderna parah banding vaksin sinovac demam"
"Positif","astrazeneca vaksin pakai pfizer kalaudi indonesia tidak sih sinovac"
"Netral","tinggal merah putih vaksin sinovac kak"
"Negatif","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat kik"
"Netral","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube"
"Positif","pemerintah rakyat vaksin sinovac vaksin tidak berlaku mana"
"Netral","cepat vaksinasi rangka penanganan covid indonesia sehat laksana kantor kapanew"
"Positif","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac"
"Positif","informasi jadwal vaksin baru dosis sinovac kuota terminal bandara juanda gratis beras kg cek daftar"
"Negatif","st panel pn kaji teknologi sptotnya pakai virus btol mrna comes from dna copy of vir"
"Netral","lihat balas bilang sakit jujur tidak baik banget dri ama s"
"Netral","asline kuat boboboiy bar suntik vaksin sinovac winggi kuat dadi ilang kabeh"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang kabeh"
"Netral","informasi vaksin sinovac dosis"
"Netral","vaksin astrazeneca sinovac"
"Netral","tau vaksin sinovac tidak kalauada vaksin sinovac"
"Negatif","gimana kalaumau negri vaksin sinovac negar"
"Positif","besok vaksin sinovac dosis ktp bebas syarat dosis sinovac"
"Positif","bhabinkamtibmas kalurahan bleberan bripka suparyanta monitoring vaksinasi warga kalurahan bina upt puskesmas i"
"Positif","vaksin sinovac vaksin indonesia simak manfaat vaksin lawan palsu vaksin"
"Negatif","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat"
"Positif","ayo vaksin"
"Positif","dosis sinovac mulaitahun ktpdomisili bebas khusus pesea syarat vaksin"
"Positif","malaysia terima bekal ama vaksin coronavac liter hantar terminal"
"Positif","besok vaksin sinovac dosis ktp bebas syarat dosis sin"
"Positif","orangorang kalauvaksin sinovac efek ngantuk makan mulu lohhh tidak bedain efek vaksin a"
"Netral","iyap sinovac tidak aku singapur kaya eropa tidak vaksin ulang modernapfizer"
"Positif","gerai vaksin camat pondok gede lokasi vaksinasi balai warga sigma rw lurah jatimakmur giat vaksin p"
"Negatif","eh serius mikirin biaya sgmalaythai the most impoant thing mikir vaksinnnnn"
"Netral","dokter bilang vaksin sinovac nya maju mundur"
"Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk d"
"Negatif","efek vaksin sinovac usaha makan minum biar tubuh bugarr malas makan"
"Netral","jog jadwal vaksin sinovac siloam"
"Netral","informasi vaksin sinovac bandung teman lokasi isbi bdg langsung link"
"Negatif","gausah dosis tempat vaksin sinovac"
"Netral","iya sinovac nder langsung dehhhh ajaa tempat vaksin ama"
"Netral","serda kokok juang nadili babinsa desa poleng laksana giat damping serbu vaksin covid dosis l tah"
"Positif","beempat pendopo kantor desa plosokerep camat karangmalang kabupaten sragen laksana vaksin dosis r"
"Positif","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"Positif","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang"
"Positif","vaksin lokal kembang drterawan dkk bukan seh vaksin merah putih vaks"
"Positif","pakai sinovac efek pegal suntik ngantuk langsung ngefek gel vaksin selang hari"
"Negatif","jadwal vaksin covid tangerang selatan jenis sinovac dosis"
"Positif","negara terima datang vaksin sinovac banyak negara l"
"Negatif","tidak bang gimana singapur ketat datang m"
"Positif","benar sinovac efek tidak liat pas suntik vaksin ast"
"Positif","temen tolong udah vaksin sinovac ngerasa sakit dada tekan tidak"
"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm"
"Netral","vaksin sinovac daftar orang registrasi orang vaksin"
"Netral","kandano i cek ndang vaksin sinovac jare"
"Positif","terusi analisis aefi juta vaksin profil selamat ba"
"Negatif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moderna sinov"
"Negatif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moder"
