"klasifikasi","x"
"Netral","gor dosis kuota dosis juanda terminal sinov"
"Positif","vaksin sinovac vaksin indonesia lawan palsu vaksin"
"Netral","sd selesai serka joko waliman babinsa ds bendo koramil sukodono lakgiat pendampin"
"Netral","informasi vaksin gratis kota palangkaraya kalimantan sinovac kurio"
"Netral","sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat damping"
"Netral","jog informasi vaksin sinovac kalauboleh lengkap mesti bawa lokasi vaksin a"
"Netral","gor dosis kuota dosis juanda terminal"
"Negatif","vaksin sinovac alergi kambuh bersin bidur mata gatel eksim kambuh"
"Negatif","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube h"
"Netral","informasi vaksin sinovac luar bandung kalauada jadwal vaksin besok gas terima kasih"
"Negatif","pasca vaksin sinovac dosis bulan kontak terkonfirm"
"Positif","malam ambil vaksin sinovac suami alhamdulillah rsa okay jedoakan sihat moga vaksin penawar"
"Positif","kelmarin ternampak iklan klinik swasta cucuk vaksin sinovac dosis rm n maigaddd fre"
"Netral","vaksin jenis sinovac pfizer langsung dateng rskh jatiasih temen"
"Positif","suntik vaksin sinovac sekolah alhamdulillah sehat pei hadeh orang"
"Netral","vaksin sinovac mana"
"Netral","vaksin sinovac balas tolong tangerang"
"Netral","proses manfaat vaksin sinovac lawan palsu vaksin"
"Netral","vaksin sinovac dosis alami ayok bagi vaksin"
"Netral","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac astr"
"Positif","mas dapat sinovac kmren murid vaksin dapat pei mdern kipi nya"
"Netral","dosis sinovac mulaitahun ktpdomisili bebas khusus pesea syarat vaksin sin"
"Negatif","tidak vaksin sinovac efek nya ngantuk parah laper"
"Positif","malaysia terima bekal ama vaksin coronavac liter hantar k"
"Positif","orang nyebar palsu suntik vaksin covid sinovac kali sekolah alhamdulillah sehat pei"
"Negatif","vaksin sinovac aman booster moderna langsung hareudang"
"Netral","vaksin sinovac aman"
"Netral","sumber langsung biar baca"
