score,text,klasifikasi
0, bisa di gor juga ya hari ini ada dosis kuota dosis sampai jam siang atau di juanda terminal ada sinov…,Netral
0,vaksin sinovac merupakan salah satu vaksin yang digunakan di indonesia lawan palsu vaksin ,Netral
0,rabu pukul sd selesai serka joko waliman babinsa ds bendo koramil sukodono lakgiat pendampin… ,Netral
1,informasi vaksin gratis kota palangkaraya kalimantan tengah selasa oktober sinovac kurio ,Positif
0,selasa pukul sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat pendamping… ,Netral
1,jog ada yang punya informasi tempat vaksin sinovac sama kalauboleh tau kelengkapan yang mesti dibawa ke lokasi vaksin a… ,Positif
0, bisa di gor juga ya hari ini ada dosis kuota dosis sampai jam siang atau di juanda terminal… ,Netral
-6, sama nih minggu lalu vaksin sinovac alergi kambuh bersin biduran mata gatel eksim kambuh lagi,Negatif
0, reuni duo alumni waawan senior tempo dahlan iskan “saya vaksin sinovac hanya untuk ke mall” full youtube h…,Netral
3, informasi dong untuk vaksin ke sinovac dan yang boleh diluar ktp bandung kalauada yang jadwal vaksin besok juga saya gas terima kasih,Positif
-1,pasca vaksin sinovac dosis kedua dibulan maret tahun ini dan sering kontak dengan terkonfirm ,Negatif
4,semalam ambil vaksin sinovac dengan suami alhamdulillah rsa okay jedoakan kami sihat selalu ya semoga dengan vaksin ini jadi penawar,Positif
0,kelmarin ternampak iklan depan klinik swasta cucuk vaksin sinovac dosis rm ke ntah maigaddd sudah ada yang fre… ,Netral
0, yang mau vaksin ke jenis sinovac dan pfizer bisa langsung dateng ke rskh jatiasih ya temen …,Netral
1, lah saya suntik vaksin sinovac di sekolah alhamdulillah saya masih sehat sepei biasa hadeh ini orang… ,Positif
0, vaksin kedua sinovac dimana ya min ,Netral
-1,yang tau tempat vaksin sinovac kedua balas dong tolong tangerang saja,Negatif
0,proses dan manfaat vaksin sinovac lawan palsu vaksin ,Netral
2,kalian yang sudah vaksin sinovac dosis ke mengalami apa saja ayok berbagi aku mau vaksin hari jumat,Positif
2, berasal dari puskesmas pada dinas kesehatan kota ambon dan tim dari tni jenis vaksin yang digunakan yakni sinovac astr…,Positif
0, aku sudah mas dapatnya sinovac tapi kmren muridku vaksin dapatnya sepeinya mdern sejauh ini kipi nya… ,Netral
1, dosis sinovac mulaitahun ktpdomisili bebas tanggal oktober khusus pesea baru syarat vaksin sin…,Positif
-1,di gua si tidak ya gua vaksin yang sinovac dan efek nya cuma ngantuk parah sama laper terus ,Negatif
2, malaysia menerima bekalan peama vaksin coronavac sebanyak liter yang dihantar terus dari k…,Positif
-1, yaelah ini orang nyebar palsu saya aja disuntik vaksin covid sinovac kali di sekolah alhamdulillah saya masih sehat sepei biasa,Negatif
-1, aku vaksin sinovac aman² aja si tapi booster moderna langsung hareudang hari ,Negatif
1,benarkah vaksin sinovac aman,Positif
2, aku beri sumbernya langsung biar kamu mau baca ,Positif
-1,informasi vaksin sinovac dosis di malang dong,Negatif
-2,rausah kakean polah asline aku iki ultraman mergo di vaksin sinovac kekuatanku ilang,Negatif
4,untuk vaksin kedua pastikan jenis vaksin sama sinovaccorona vac jarak antara vaksin peama dengan vaksin kedua… ,Positif
3, kabar dari vaksin sinovac vaksin sinovac dosis ke terbukti mampu menghasilkan antibodi yang mampu menetralisir varian…,Positif
-2,gejala setelah vaksin moderna lebih parah dibanding vaksin sinovac masih demam juga,Negatif
2, banyak kok yang astrazeneca kalau yang baru vaksin sudah pakai pfizer sebagian ya kalaudi indonesia aja tidak apa-apa sih sinovac… ,Positif
0, tapi tapi semua yang tinggal di merah putih vaksin sinovac kak ,Netral
-1, vaksin dosis dengan jenis sinovac hadir kembali teruntuk mahasiswa umy alumni umy pelajar masyarakat umum yang sudah mengik…,Negatif
0,reuni duo alumni waawan senior tempo dahlan iskan “saya vaksin sinovac hanya untuk ke mall” full youtube gitu… ,Netral
2,kenapa pemerintah memberi rakyatnya vaksin sinovac kenapa sedangkan vaksin itu tidak berlaku dimana masa gua… ,Positif
0,percepatan vaksinasi dalam rangka penanganan covid menuju indonesia sehat kembali dilaksanakan di kantor kapanew… ,Netral
2,berasal dari puskesmas pada dinas kesehatan kota ambon dan tim dari tni jenis vaksin yang digunakan yakni sinovac … ,Positif
2, informasi jadwal vaksin terbaru oktober dosis sinovac kuota di terminal bandara juanda gratis beras kg cek pendaftar…,Positif
-1, st panel pn sama kajian guna teknologi baru sptotnya pakai virus btol mrna comes from dna copy of vir… ,Negatif
0, lihat balas pada bilang sakit semua tapi jujur di aku tidak ada rasa lebih baik banget dri pada yang peama aku kan s… ,Netral
0,asline aku kuat seperti boboboiy tapi bar di suntik vaksin sinovac winggi kekuatanku dadi ilang kabeh,Netral
-1,rasah kakean cangkem asline ki aku ultramen tapi bar vaksin sinovac kekuatan ku ilang kabeh,Negatif
0, informasi vaksin sinovac dosis ,Netral
0, vaksin astrazeneca atau sinovac,Netral
0, aku taunya vaksin sinovac aja tidak tahu kalauada vaksin sinovac,Netral
-1, min saya mau tanya ini saya gimana ya kalaumau ke luar negri tapi saya vaksinnya sinovac sedangkan negar… ,Negatif
1, untuk besok vaksin sinovac dosis ktp bebas tanggal oktober syarat dosis sinovac…,Positif
1,bhabinkamtibmas kalurahan bleberan bripka suparyanta monitoring vaksinasi warga kalurahan binaan upt puskesmas ii… ,Positif
3,vaksin sinovac merupakan vaksin yang digunakan di indonesia simak manfaat vaksin lawan palsu vaksin ,Positif
-1,vaksin dosis dengan jenis sinovac hadir kembali teruntuk mahasiswa umy alumni umy pelajar masyarakat umum yang… ,Negatif
1,ayo vaksin bersama kami ,Positif
1, dosis sinovac mulaitahun ktpdomisili bebas tanggal oktober khusus pesea baru syarat vaksin … ,Positif
2, malaysia menerima bekalan peama vaksin coronavac sebanyak liter yang dihantar terminal… ,Positif
1, untuk besok vaksin sinovac dosis ktp bebas tanggal oktober syarat dosis sin… ,Positif
1,orangorang kalauvaksin sinovac nanti efeknya ngantuk sama makan mulu lohhh aku tidak bisa bedain mana efek vaksin a… ,Positif
0, iyap sinovac tidak diakui di singapur kemarin kayanya di eropa juga tidak bisa jadi harus vaksin ulang antara modernapfizer,Netral
3,gerai vaksin kecamatan pondok gede lokasi vaksinasi balai warga sigma rw kelurahan jatimakmur kegiatan vaksin p… ,Positif
-1,eh serius dari kemarin aku memang mikirin biaya sgmalaythai tapi the most impoant thing itu aku mikir vaksinnnnn… ,Negatif
0,dokter bilang aku boleh ikut vaksin yang sinovac tapi aku nya yang masih maju mundur ,Netral
2, total vaksin yang tiba di indonesia baik dalam bentuk bulk atau bahan baku maupun bentuk jadi berjumlah d…,Positif
-1, mungkin efek vaksin kalau dapat sinovac usahakan banyak makan dan minum biar tubuh bugarr kalau malas makan… ,Negatif
0,jog ada yang tau jadwal vaksin sinovac di siloam bulan ini,Netral
0,informasi vaksin sinovac bandung ini teman lokasinya di isbi bdg bisa langsung ke link ini ya ,Netral
-1, gausah lanjut dosis ke dua aja ditempat vaksin yang sama harus sinovac lagi juga,Negatif
0, iya harus sinovac juga nder bisa langsung kedua dehhhh tanya ajaa ke tempatmu vaksin peama,Netral
0,serda kokok juang nadili babinsa desa poleng melaksanakan kegiatan pendampingan serbuan vaksin covid dosis l tah… ,Netral
1,beempat di pendopo kantor desa plosokerep kecamatan karangmalang kabupaten sragen telah dilaksanakan vaksin dosis dan ser… ,Positif
1, kan vaksin peama astrazeneca pas vaksin kedua aku lupa pas ditanya susternya kemarin sinovac ya aku jawab aja iya,Positif
1, kan vaksin peama astrazeneca pas vaksin kedua aku itu lupa pas ditanya susternya kemarin sinovac ya aku jawab aja iya,Positif
0,untuk pendaftaran vaksin sinovac hari kamis oktober di klinik polresta bandung jlbhayangkara soreang si… ,Netral
2, vaksin lokal tuh yang dikembangkan drterawan dkk bukan seh vaksin merah putih vaks… ,Positif
1, pakai sinovac efeknya baru pegal bagian yang disuntik sama ngantuk tapi langsung ngefek pegelnya dulu yang vaksin selang sehari gitu,Positif
-1,jadwal vaksin covid di tangerang selatan jumat oktober jenis sinovac dosis dan ,Negatif
1, baru negara yang menerima pendatang dengan vaksin sinovac kebanyakan negara l… ,Positif
-1, tapi masih tidak tahu bang itu gimana soalnya singapur termasuk ketat soal pendatang luar apalagi kita m… ,Negatif
1, benar sinovac efeknya tidak keliatan kemarin pas suntik vaksin ast… ,Positif
1,temen tolong jawab yang udah vaksin ke sinovac kalian ngerasa sakit dada seperti ditekan gitu tidak,Positif
1,“stok vaksin kami cukup bapak stok saat ini tersisa dosis terdiri dari vaksin sinovac dan sinopharm” jawab… ,Positif
0,vaksin sinovac mendaftar orang teregistrasi orang tervaksin … ,Netral
0, kandano iku cek ndang vaksin sinovac jare,Netral
1, menerusi analisis aefi terhadap juta vaksin menunjukkan secara keseluruhannya mempunyai profil keselamatan bai…,Positif
-1, sejauh ini vaksin covid yang mendapat izin penggunaan darurat who hanya pfizerbiontech astrazeneca jampj moderna sinov…,Negatif
-1,sejauh ini vaksin covid yang mendapat izin penggunaan darurat who hanya pfizerbiontech astrazeneca jampj moder… ,Negatif
1,team vaksinator satbrimob polda kalsel hari ini rabu menggelar serbuan vaksin presisi di pondok pesantren wali… ,Positif
0, kenyataan akhbar kementerian kesihatan malaysia pihak berkuasa kawalan dadah pbkd yang bermesyuarat hari ini memberi…,Netral
0,kalauvaksin astrazeneca jeda vaksin keduanya lama banget ade aku kemarin sinovac skrng udah mau vaksin lagi aku yang duluan belum,Netral
2,alhamdulillah serumahan sudah vaksin semua abah pfizer kakak dan istri astrazeneca me sinovac sehat selalu ya ,Positif
1,pelaksanaan vaksinasi keliling tahap dan tahap di keltanjung marulak hilir kecrambutan vaksin sinovac ut… ,Positif
2, informasi vaksin bekasi di pos polsek medan satria dari dinas kesehatan lurus sedikit smp tanggal oktober ada vaksin sinov…,Positif
0,untuk pendaftaran vaksin sinovac hari kamis oktober di klinik polresta bandung jlbhayangkara soreang sil… ,Netral
0,pengumuman vaksinasi dosis kedua sinovac yang akan dilaksanakan di puskesmas pakis tanggal oktober ditund… ,Netral
-1,informasi vaksin di malang dong dosis ya sinovac makasih buat yang komen gkb,Negatif
-2, tetangga saya pekan setelah vaksin dosia sinovac mengalami dengkul lemas tidak nafsu makan lanjut mual kalauma…,Negatif
0,pada hari rabu tanggal oktober pukul wib sd selesai beempat di sama dan namang telah dilaksanakan p… ,Netral
0,cak ayo vaksin sinovac dosis kedua ndek gressmall itu boleh diikuti semua yang sudah vaksin peama sinovac ta a… ,Netral
2,goh bak nai dibawa ke pusat pemberian vaksin ppv hospital pakar komuniti ipoh pcsh dengan ditemani ahli keluarg… ,Positif
-2, tetangga saya pekan setelah vaksin dosia sinovac mengalami dengkul lemas tidak nafsu makan lanjut mual kalaumakan,Negatif
-1, hah vaksin apa tuh bukan sinovac katanya yang buat remaja kan sinovac kan,Negatif
0, iyaalaahh kalaubeda ntr tubuh kamu yang belum terbiasa sama vaksin sinovac pas dikasih yang beda jenis tmbh ambyarr,Netral
-1, kalauvaksin peama tuh sinovac vaksin kedua harus sinovac juga kah,Negatif
0,ayo vaksin astrazeneca dosis sinovac dosis dan bersama biddokkes polda kepri di kepri mall untuk hari… ,Netral
2, goh bak nai dari taman sin far ipoh dibawa ke ppv hospital pakar komuniti ipoh selamat menerima suntikan dosis peama vaksin…,Positif
0, vaksinasi covid dosis kedua kembali dilaksanakan bagi keluarga pegawai di lingkungan sekretariat jenderal kpu…,Netral
1,dari awal anti banget sama vaksin ujungujungnya suruh milih antara sinovac astrazeneca atau moderna pilihan jat… ,Positif
-2, kurang tau sih nder tapi kalauvaksin udah jenis sinovac vaksin nya harus sinovac juga bukan,Negatif
2, benar kata temenmu kalausudah sekali vaksin pakai sinovac tidak boleh move ke vaksin yang lain,Positif
1, nder oot tapi adek aku juli vaksin sinovac terus covid juga seperti kamu beberapa minggu lalu udah vaksin k… ,Positif
1,gratis vaksin sinovac moderna pfizer untuk ibu hamil ,Positif
0,sementara itu jenis vaksin yang digunakan yakni sinovac astrazeneca dan moderna … ,Netral
0, hello kenapa nd dose adik saya diubah dari bacc ke kakak ampang ya adakah bacc sudah jadi tempat khas vaksin… ,Netral
1,mukomuko terima tambahan dosis vaksin sinovac antara news bengkulu ,Positif
1,goh bak nai yang tinggal di taman sin far di dekat sini dibawa ke pusat pemberian vaksin ppv hospital pakar komu… ,Positif
-2, jadi walau sinovac dan sinopharm misalnya inactivated whole virus yang diukur di lab sejauh ini hanya srbd… ,Negatif
1,alhamdulillah aku udah di suntik vaksin sinovac dosis peama ,Positif
-1, vaksin sinovac seharusnya sinopharm tapi kata petugasnya sinopharm udah dibawa puskesmas jadinya sinovac,Negatif
1,sudah vaksin sinovac kali dan tidak ada efek samping samsek i guess i could call myself lucky tapi parno juga berasa seperti tidak vaksin,Positif
0,ayo intip perbedaan vaksin astrazeneca dan sinovac ,Netral
1,menerusi analisis aefi terhadap juta vaksin menunjukkan secara keseluruhannya mempunyai profil keselama… ,Positif
