"","klasifikasi","x"
"800","Negatif","vaksin sinovac dosis salah informasi"
"1050","Positif","iyaaa beneran tidak asa kepengen tidur banget standa ngomong ngomong pakai sinovac vaksin nya"
"825","Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen pember"
"1389","Netral","beda vaksin sinovac astrazeneca informasi masyarakat daftar vaksin"
"776","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silah"
"931","Netral","yb nak request second dose sinovac kontak rapat haritu so kansel appointment c d"
"312","Netral","kes patient st dosis sinovac nk tukar vaksin sbb post vaksin kena salmonella tgk kes xperlu terminal"
"1356","Negatif","ngasi orang pinter banget abis vaksin istirahat bupak jangan capek moderna e"
"1450","Netral","informasi lokasi vaksin daerah solo dosis sinovac informasi"
"1458","Netral","dosis sinovac dosis bebas"
"1382","Negatif","imunogenisitas vaksin sinovac turun persen ama kali suntik tubuh"
"997","Positif","besok vaksin ah nunggu moderna sinovac ajadeh"
"893","Netral","dosis undur tmptnya dipake ds lainfyi desa informasi"
"453","Netral","say vaksin sinovac udah gppa"
"946","Positif","alhamdulillah vaksin selesai dosis sinovac dosis bener war sold antu"
"26","Negatif","vaksin sinovac aman booster moderna langsung hareudang"
"1070","Netral","waris mesti benar masuk anak suntik pasti tiada silap jenis vaksin b"
"99","Positif","goh bak na bawa pusat beri vaksin ppv hospital pakar komuniti ipoh pcsh teman ahli keluarg"
"102","Negatif","iyaalaahh kalaubeda ntr tubuh belum biasa vaksin sinovac pas kasih beda jenis tmbh ambyarr"
"812","Negatif","jangan kakean cangkem asline ki turun prabu siliwangi bar vaksin sinovac kuat ilang"
"560","Positif","guna vaksin sinovac golong remaja umur benar ketua arah kesihatan"
"569","Positif","vaksin sinovac selamat kanakkanak pharmaniaga"
"209","Netral","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis ama j"
"1391","Netral","beda vaksin sinovac astrazeneca"
"598","Netral","vaksin sinovac"
"819","Negatif","perlahan bukan vaksin astrazeneca rana kadar vaksin dosis ama lepas me"
"357","Positif","angka efikasi sinovac peran wave junijuli kontra"
"682","Negatif","temen abis papar cword tidak vaksin kampus pakai sinovac eh pas sembuh l"
"521","Netral","vaksinasi covid dosis laksana keluarga gawai lingkung sekretariat"
"358","Positif","kedatngan vaksin sinovac bandara intl pesawat lion air jakaa"
"989","Negatif","sing vaksin e sinovac ra sok keraskoyo ngenei astreav"
"1031","Netral","informasi vaksin sinovac dosis bogor daftar"
"191","Netral","sobat polri vaksin covid adakan menteng tenggulun camat menteng jakaa pusat jenis vaksin sinov"
"46","Netral","informasi vaksin sinovac dosis"
"1043","Netral","buka jangka"
"942","Positif","malaysia ikut langkah indonesia persetujuan syarat beri vaksin covid"
"410","Netral","sayang rumah bekas cipayung cibubur ayo vaksin sinovac astrazeneca universitas dian nusantara"
"1096","Netral","sinovac yah cmn kali vaksin"
"425","Netral","vaksin sinovac kali tu ngantri rame banget"
"773","Negatif","mosok biduren mergane vaksin sinovac"
"900","Positif","raja china bersetuju derma tambah juta dosis tambah ribu su"
"736","Netral","dosis administrasi amerika inggris bayang untung farmasi vaksin"
"1427","Positif","muhun cah dapat sinovac antusias banget freezer astrazeneca ponakan temen bapake"
"911","Netral","sinovac besok vaksin hihi"
"730","Positif","negara izin vaksin indonesia filipina vaksin sinovac sinopha"
"829","Netral","informasi vaksin covid bogor puskesmas tanjungsari masyarakat pakai pfizer sinovac"
"1162","Positif","vaksin sinovac lulus remaja usia via"
"1075","Netral","asli"
"1289","Netral","panjang kanggo kancakanca brebes l sekitare vaksinasi usia kuo"
"111","Positif","gratis vaksin sinovac moderna pfizer hamil"
"824","Netral","vaksin plasebo heboh berita uap"
"470","Netral","emang vaksin ulang kalausetauku sinovac bulan kalauastrazeneca"
"1187","Negatif","eitss vaksin sinovac langka"
"605","Netral","udah vaksin sinovac vaksin booster moderna nakes"
"1416","Negatif","urg sinovac gin h abis vaksin jagjag isukna laleleus pis"
"1108","Positif","nyesel vaksin astrazeneca sinovac"
"364","Netral","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"1334","Netral","vaksin sinovac lantas positif covid vaksin sinovac"
"343","Netral","preston kak vaksin dosis sinovacastra bisaaaa"
"1066","Positif","stok dikemaskini kuantiti jenis keychain guyyss jenis rm jer keychain vaksin"
"541","Netral","camat ceper beb coba dm instagram puskesmas bayat sana vaksin sinovac dosis"
"748","Negatif","hmmm pikir en vaksin lagikarena dapet vaksin sinovac"
"1191","Positif","pbkd sar guna sinovac kalangan remaja usia"
"1419","Netral","kak informasi vaksin sinovac msh bdg mana"
"1200","Netral","ayo buru vaksin belum dosis pfizer dosis vaksin"
"1438","Netral","vaksin kakak mari mampir kakak vaksin sinovac vaksin astrazeneca zeneca dipilihpilih kakak bahas"
"753","Netral","udah vaksin dosis efek samping gimana sinovac yh"
"1252","Netral","kkm sar guna vaksin keluar sinovac remaja utama remaja"
"1210","Negatif","jangan sok keras vaksin nya sinovac vaksin jonivac suntik nya gede kenyal enak l"
"238","Negatif","lu beda jenis vaksin bikin ribet bgini vaksin woey udah abis"
"130","Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharja"
"674","Positif","keluarga vaksin sinovac doang nya kota emang efek tidak"
"1184","Netral","ayo hadir gerai vaksin tni polri laksana"
"195","Netral","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten ban"
"160","Positif","aussie vaksin kak bukan tinggal indonesia syarat vaksin"
"260","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"961","Positif","vaksin sinovac asma tidak parah banget kambuh nggapapa buatt vaksinn"
"827","Netral","eddy yoshawirja warga bilang pecinan kota bandung warga usia lansia teua"
"784","Netral","jatimulya puskesmas jatimulya vaksin sinovac pfizer dosis syarat domisili jatimulya"
"153","Negatif","masuk category no vaccine pergh sedih marah"
"945","Positif","vaksin massal dosis sinovac royal plaza surabaya sedia dosis surat domisili"
"1103","Netral","kalauvaksin nyo pakai astrazeneca jaraknyo kalausinovac jaraknyo"
"487","Negatif","sinovac tidak laku roman sang juragan nakutin dunia pakai isu mutasi varian huahahaha ah terminal"
"1338","Netral","vaksin pfizer astrazeneca wilayah mustika jaya sini puskesmas mustika jaya sedia vaks"
"1475","Netral","sinovac dosis ajar smk dukuhturi suntik vaksin covid"
"721","Netral","vaksin sinovac sakit tidak sih"
"190","Netral","kalauudah vaksin sinovac vaksin moderna pfizer tidak"
"143","Positif","warga pojok antusias ikut vaksin babinsa koramil pulokulon serda zainudin bhabinkamtibmas monitoring v"
"916","Netral","ayan vaksinasi covid dosis warga lurah juang laksana vaksin dosis jen"
"1145","Netral","ndes vaksin ama vaksin langsung auditorium unnes sekar jenis vaksin"
"475","Netral","na udah dosis sinovac suruh vaksin dosis moderna bingung banget"
"880","Positif","vaksin gapapa ambil sinovac efek ringan kon"
"1447","Netral","puri begawan vaksin dosis kook sinovac"
"478","Positif","pearuhan jenius tim diplomasi longterm baik m"
"955","Positif","udah vaksin dosis sinovac sih aman inti janga"
"198","Positif","sambut hut tni kodam vbrawijaya adakan upacara viual bagi vaksin sinovac masyar"
"855","Netral","tolong baca tulis sinovac vaksin ama"
"1478","Netral","vaksin sinovac"
"935","Negatif","aduh vaksin sinovac"
"705","Negatif","republik indonesia booster nakesdan tidak vaksin modernakebanyakkan sinovac keleees"
"1267","Positif","kuasa kawal dadah pbkd tuju kelulus syarat guna vaksin coronavac keluar sinov"
"33","Negatif","gejala vaksin moderna parah banding vaksin sinovac demam"
"63","Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk d"
"305","Netral","tolong informasi vaksin dosis astrazeneca tidak kabupaten semarang banyak sinovac moderna"
"922","Netral","vaksin sinovac unmul syarat jadwal cp cek foto link"
"930","Netral","laksana vaksinasi rentak tahap vaksin sinovac laksana polsek rambutan camat rambutan kota te"
"1150","Netral","cah informasi vaksin d sinovac"
"648","Positif","sinovac tidak efek vaksin moderna tidak"
"1250","Netral","st dose astrazeneca then aefi amik nd dose sinovacso abis cerita vaksin sbb mysejahtera sah"
"417","Positif","cowok asma udah kali vaksin sinovac tidak ngefek apaapa kecuali ngantuk laper"
"1322","Netral","lur toloong informasi vaksin sinovac teman makasiih"
"972","Positif","ibu riwayat daing coba vaksin sinovac dosis ama alh"
"703","Netral","informasi vaksin sinovac dosis jogja"
"1220","Netral","maksimal vaksin ama kalausinovac moderna maksimal kalauastrazeneca"
"1231","Negatif","kali doo nk t cgu mksud lancau curious pon vaksin sinovac senng skit nk score nnti"
"1006","Positif","oalah sinovac enak banget vaksin pas suntik tidak asa efek pegal"
"638","Netral","informasi vaksin sinovac dosis jog makasi"
"1331","Netral","informasi vaksin sinovac dosis dongg umsfess"
"1083","Negatif","nyari vaksin astrazeneca zeneca susah banget nemu moderna sinovac"
"482","Netral","vaksin tidak presiden stok vaksin stok sisa"
"998","Netral","beda vaksin moderna sinovac teman"
"1277","Netral","update vaksin covid bogor sinovac puskesmas cangkurawok kuota"
"442","Netral","halo sahabat rumah sakit baptis batu jadwal pesea vaksin c moderna sinovac tunda ayan"
"459","Positif","vaksin sinovac selamat kanakkanak"
"73","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang"
"360","Netral","pkl sd babinsa desa tempursari serka maryadi laksana pen"
"822","Netral","kesan vaksin sinovac pfizer tanding lawan covid"
"5","Netral","sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat damping"
"1149","Positif","kuasa kawal dadah pbkd tuju kelulus syarat guna vaksin coronavac keluar sinovac l"
"387","Negatif","jadi nyata pupu nikah jerman orang jerman tolak vaksin sinovac lurah"
"237","Positif","indonesia datang juta dosis vaksin covid sinovac astrazeneca"
"1276","Netral","vaksinasi psi kota depok solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga in"
"166","Netral","beugas l titiwangsa gawai stesen muhammad nor afiq bin budin tugas baris hadap"
"1290","Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin sembuh bangsa"
"240","Netral","vaksin sinovac vaksin nya moderna tu gaboleh"
"948","Negatif","asline powerrangger abang kacek e saiki rodok mlesek mergo bar vaksin sinovac"
"1215","Netral","pbkd sar guna vaksin coronavac kalangan remaja usia d"
"261","Negatif","mending temenku jenis vaksin kena covid teman nya te"
"1171","Positif","guna vaksin keluar kalangan usia utama remaja"
"28","Netral","sumber langsung biar baca"
"770","Netral","juta kali sinovac rupiah murah sinovac juta warga bayar vaks"
"422","Netral","selamat pakbu bea polsek mergangsannkecamatan mergangsann adakan vaksinasi"
"739","Netral","baik salah belum jenis vaksin moderna pfizer s"
"613","Negatif","pfizer cominay sinovac coronavac ikut media kanada tidak nama vaksin pf"
"662","Positif","eh pakai vaksin pakai sinovac hati tenang deh"
"873","Netral","geo suruh pakai vaksin sinovac"
"40","Netral","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac"
"1443","Netral","nemenin adik tiri vaksin nunggu positif kmrnandisini daftar online manual on the"
"844","Netral","ayo hadir gerai vaksin tni polri laksana"
"371","Netral","vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis syarat jadwal l"
"1343","Netral","vaksin dosis ama sinovac biofarma seifikat diprint"
"254","Netral","buka sempat vaksin dosis sinovac khusus warga sukoharjo vaksin warga"
"548","Netral","kayak teori indonesia pakai sinovac biar vaksin ind"
"1010","Negatif","kak asma udah vaksin sebenernya bandel jangan tiru hehe"
"1214","Positif","raja lulus guna vaksin sinovac remaja malaysianow"
"1240","Netral","informasi vaksin sinovac pfizer bogor puskesmas sukajaya masyarakat"
"538","Netral","buru daftar link kuota batas vaksin nya jenis sinovac ge"
"1046","Negatif","efikasi vaksin sinovac indonesia turun persen persen vaksin booster jenis vaksin covi"
"66","Netral","informasi vaksin sinovac bandung teman lokasi isbi bdg langsung link"
"712","Positif","mukomuko siap dosis vaksin sinovac ajar news bengkulu"
"419","Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh"
"793","Positif","situbondo gencar serbu vaksinasi covid dosis jenis vaksin sinovac astrazeneca kegiata"
"1279","Netral","giat vaksinasi massal masyarakat brebes gerai vaksin presisi polres brebes dosis ama d"
"107","Negatif","anti banget vaksin ujungujungnya suruh milih sinovac astrazeneca moderna pilih jat"
"13","Positif","kelmarin ternampak iklan klinik swasta cucuk vaksin sinovac dosis rm n maigaddd fre"
"1237","Positif","lulus vaksin remaja"
"401","Negatif","iya full ikut anjuran pemerintah sinovac kak nami respon tubuh ku nyeri"
"311","Negatif","soal serius campur dosis vaksin nampak kat tiktok sbb orang tu dosis sinovac tanah arab"
"1174","Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"823","Positif","tahan badan je awak amik pfizer takde effect langsung effect dem"
"1118","Positif","adakan vaksin vaksin gelombang sinovac"
"694","Positif","dapet kuota vaksin sinovac pfizer astrazeneca johnson johnson pemerintah me"
"48","Netral","tau vaksin sinovac tidak kalauada vaksin sinovac"
"1263","Negatif","temen ku vaksin nya beda loh bukan sinovac malas jelasin nya ah"
"1482","Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin peduli keluarga"
"1360","Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"1202","Netral","kalauchip gin vaksin sih serius na mak kalausinovac kayak tidak deh"
"1005","Netral","informasi vaksin covid bogor sinovac dosis puskesmas ciomas rahayu masyarakat"
"291","Negatif","comment nder vaksin sinovac potensi titan biar ketar tir aneh emang top"
"1299","Netral","tapi booster merk vaksin pakai kali"
"525","Netral","b sih urang mah soalna urang beurang vaksin sinovac kadua"
"355","Netral","aman datang vaksin sinovac jakaa pesawat lion air jt bawa"
"875","Positif","temen ngetwit vaksin sinovac untung sih tidak kayak"
"433","Netral","daftar link daftar"
"78","Negatif","tidak bang gimana singapur ketat datang m"
"394","Negatif","asma udah vaksin sinovac kali badan nyeri demam"
"590","Negatif","oooooo suntik sinovac tidak demam kakak kayak vaksin astrazeneca efek samping mi"
"1105","Netral","informasi vaksin sinovac mustika jaya bantu repost"
"168","Positif","ayo dukung vaksinasi pandemi lalu patuh prokes m"
"1448","Positif","bismillah vaksin sinovac"
"1092","Positif","ayo vaksin temen sinovac ngantuk laperan doang beneran deh"
"970","Netral","cuman pas suntik vaksin ama beda btwgua dosis ama sinovac astrazeneca"
"376","Netral","mohon informasi vaksin dosis sinovac area sidoarjo"
"1425","Negatif","ananda smp alami sakit dada sebelah kiri pasca vaksin dosis p"
"853","Positif","imunisasi covid guna vaksin coronavac keluar sinovac life sciences co ltd china pharmaniaga lifesciences"
"621","Netral","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca beri"
"377","Netral","bolehh kalauragu pending gapapa pei pas w vaksin sinovac ama tugas ngasi"
"232","Positif","juta dosis vaksin covid sinovac bentuk tanah air"
"59","Negatif","iyap sinovac tidak aku singapur kaya eropa tidak vaksin ulang modernapfizer"
"83","Netral","kandano i cek ndang vaksin sinovac jare"
"642","Negatif","sinovac udah sek napas pas abis vaksin untung bentar doang sih normal"
"860","Netral","eh cu udah vaksin kah k mana oh sinovac kah iya selesai"
"251","Negatif","sumpah anjing pakai sinovac kesel lu untung vaksin orang jangan pilih pilih vak"
"597","Negatif","meriang selesai minum bodrex sembuh saran kalauseperti mama pas"
"1061","Positif","nihhh vaksin sinovac pribadi tidak samsek rada pegal tidak ganggu ngant"
"1346","Netral","mjb tidak jadwal vaksin dosis sinovac bina sehat emng tidak tru"
"1080","Positif","sayang koleksi data bukti"
"596","Positif","putus australia aku vaksin sinovac angin segar wisatawan internasional asal"
"170","Netral","tolong informasi vaksin sinovac pfizer"
"136","Positif","syukur alhamdulillah udah baik emang baik istirahat abis vaksin"
"921","Positif","asam lambung aman udah kali vaksinn pakai sinovac vaksin makan"
"1067","Positif","iya pakai vaksin sinovac tidak kena asma izin vaksin"
"259","Positif","wahhh anak sinovac ama tidak sik normal"
"114","Netral","mukomuko terima tambah dosis vaksin sinovac news bengkulu"
"1044","Positif","pemerintah arab saudi aku guna vaksin sinovac jamaah umroh indonesia"
"1104","Netral","informasi vaksin sinovac dosis dongss"
"1307","Netral","nder vaksin sinovac saranin jangan pergi tubuhm"
"765","Negatif","seifikat vaksin tidak tulis sinovac musti coronavac tidak diakuin"
"953","Netral","vaksin sinovac unmul syarat jadwal cp cek foto link"
"1316","Netral","panjang sd islamic center"
"610","Negatif","just informasi teman vaksin atur mana i vaksin nya jangan sinovac mostl"
"315","Negatif","aneh kemarenkemaren tidak vaksin dikatain udah vaksin ratara"
"188","Positif","besok juta hari rutin dapat sinovac tidak hat"
"686","Negatif","kayak teori indonesia pakai sinovac biar vaksin apalag"
"665","Negatif","papua at least udah vaksin sih sinovac smua"
"212","Negatif","masuk akal asumsi booster vaksin virus lemah rangorang singapore"
"436","Netral","vaksin sinovac umur kah"
"1395","Negatif","review vaksin sinovac dosis jarum rasa dosis"
"307","Netral","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"1283","Netral","rumah sakit akademik ugm buka tenda vaksin gedung utara kuota vaksin sinovac dosis"
"780","Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ilang"
"535","Negatif","uwong uwong ki ngopo le vaksin milih milih sing sinovac ngene loh astrea"
"520","Netral","geger vaksin srimulyo jilid i kapanewon piyungan gor p"
