"","klasifikasi","x"
"450","Netral","dibalerame dibatalin vaksinasi stadion jalak harupat vaksin sinovac"
"346","Positif","bhabinkamtibmas kalurahan maguwoharjo sambang pantau laksana vaksin tahap i sinovac warga padukuhan"
"336","Negatif","vaksin udah h ngantuk mulu pegal badan efek gin"
"1271","Negatif","butuh booster a suntik vaksin coba kelinci kitakita"
"859","Positif","ajar cilacap suntik vaksin covid dosis ama jenis sinovac meninj"
"174","Netral","ponakan mumpung dibolehin vaksin pilih pfizer instead of moderna pas boleh moderna takut takut sa"
"1477","Netral","pmi kabupaten klaten gelar vaksin covid jenis vaksin sinovac gratis laksana balai de"
"1093","Netral","vaksin sinovac"
"546","Positif","bapa bimbang vaksin sinovac selamat kanakkanak remaja"
"1160","Negatif","ko seremm vaksin sinovac"
"91","Netral","laksana vaksinasi keliling tahap tahap keltanjung marulak hilir kecrambutan vaksin sinovac ut"
"82","Netral","vaksin sinovac daftar orang registrasi orang vaksin"
"381","Positif","tidak vaksin k pas reddays vaksin sinovacefeknya ngantuk laper"
"978","Positif","australia buka batas traveler vaksin sinovac boleh masuk sa"
"121","Netral","terusi analisis aefi juta vaksin profil lama"
"1318","Netral","koramil tng mngdkan vaksinasi dosis jenis sinovac hlm lurah cimone jaya rangka"
"620","Negatif","mjb bantu who belum aku vaksin tsb vaksin tsb cu"
"618","Netral","teman informasi vaksin sinovac daerah tangerang dosis belum nemu"
"1242","Positif","alhamdulillah lepas cucuk vaksin sinovac cari self reward"
"432","Netral","jenis vaksin vaksin sinovac astrazeneca pfizer moderna nb i cant mentioned all of types but this is terminal"
"269","Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"1176","Netral","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac pasca sun"
"313","Netral","asem nek ono informasi vaksin sinovac dosis tidak ribet kabar yak"
"72","Netral","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"127","Netral","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis a"
"890","Positif","vaksin sinovac tidak efek konsul dokter kalaulg tidak kambuh kondisi sehat tidak vaksin"
"1451","Netral","halo depok citayem raya informasi vaksin sinovac banget citayam center lgsg cus"
"1198","Positif","mesyuarat kuasa kawal dadah kelulus syarat guna vaksin keluar sinovac remaja be"
"509","Positif","serius sinovac efek ringan pkm cobak ngadain vak"
"103","Netral","kalauvaksin ama sinovac vaksin sinovac kah"
"542","Negatif","bahan utama vaksin sinovac dna babi serum bayi belum lahir hidup d"
"236","Negatif","jangan ngaku kuat yen vaksin mu iseh sinovac"
"421","Netral","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sin"
"633","Netral","halo barangkali admin followersnya informasi vaksin dosis sinovac uin malang tunda"
"1058","Negatif","sinovac suruh vaksin dokter nya"
"583","Netral","ayo massal jenis vaksin sinovac"
