"word","freq"
"…",373
"isu",321
"remaja",272
"pasal",256
"heboh",254
"kononnya",254
"syncop",254
"jangkitan",205
"diterima",193
"fungsi",190
"iaitu",189
"risiko",189
"mengurangkan",188
"elak…",170
"nak",168
"vaksinasi",147
"covid",145
"reti",121
"base",118
"meroh",118
"sinovac",112
"dosi",94
"antivak",72
"vacc",72
"tegar",68
"ani",66
"burukkan",66
"sahaja",66
"issue…",65
"kerajaan",63
"antivaksin",63
"g…",60
"hok",60
"juta",59
"plok",59
"terima",58
"dana",55
"kajian",55
"bayangkan",54
"melibatkan",54
"penyelidikan",54
"uitm",54
"rm…",53
"utk",53
"tidak",52
"bandung",51
"•",48
"kota",45
"indonesia",45
"moderna",42
"dapatkan",40
"orang",39
"pfizer",38
"nya",38
"pergi",38
"anakanak",37
"approach",36
"ask",36
"man",36
"process",36
"salam",36
"stateless",36
"ybm",36
"after",36
"dijangka",36
"explain",36
"hantar",36
"pantaulah",36
"parent",36
"sebar…",35
"jab…",35
"tni",33
"masyarakat",33
"belum",33
"pelajar",30
"warga",29
"bukan",28
"efikasi",28
"persen",28
"kalo",27
"informasi",26
"puskesma",26
"dilaksanakan",26
"ayo",26
"udah",25
"wargi",24
"antivax",24
"kak",24
"cek",23
"peama",23
"pulak",23
"diterima…",23
"ambil",23
"marah",23
"diselenggarakan",23
"anggota",22
"perlindungan",22
"dah",21
"v…",21
"astrazeneca",21
"gerai",21
"kes",21
"beda",20
"polsek",20
"polri",20
"hadiri",20
"silakan",19
"booster",19
"vaksinnya",19
"divaksin",19
"tahap",19
"mati",19
"alpha",19
"delta",19
"kesimpulan",19
"varian",19
"program",18
"kena",18
"penyinta",18
"tersedia",18
"umi",18
"melaksanakan",18
"neutral",18
"taliban",18
"kabupaten",18
"massal",18
"dos",17
"gak",17
"pemerintah",17
"kab",16
"koramil",16
"bogor",16
"menurun",16
"takut",15
"info",15
"ambik",15
"desa",15
"memiliki",15
"solok",15
"pake",15
"tuhan",15
"amik",14
"disesuaikan",14
"aman",14
"virus",14
"amerika",14
"serikat",14
"kerja",14
"org",13
"logistik",13
"duduk",13
"rsud",13
"masuk",13
"tgl",13
"pendaftaran",13
"usia",13
"sinovac…",13
"daftar",13
"diklaim",13
"cari",12
"hayu",12
"kanjuruhan",12
"malang",12
"monggo",12
"btl",12
"duk",11
"anti",11
"nder",11
"karanganyar",11
"serbuan",11
"apapun",11
"lengkap",11
"dibuka",11
"d…",11
"astra",11
"keluarga",11
"p…",11
"besok",11
"babinsa",10
"selesai",10
"kesehatan",10
"tergantung",10
"kedatangan",10
"bhabinkamtibma",10
"jangan",10
"efek",10
"baca",10
"pilih",10
"seifikat",10
"depok",10
"aefi",10
"sentra",9
"menyediak…",9
"langsung",9
"deh",9
"alumni",9
"hadir",9
"mahasiswa",9
"teruntuk",9
"menyediakannya",9
"petuga",9
"sih",9
"emang",9
"elakk…",9
"penggunaan",9
"period",9
"dpt",9
"kanit",9
"fitnah",9
"kumpul",9
"sakit",9
"percaya",9
"wajib",9
"inti",8
"makan",8
"dina",8
"tim",8
"dapet",8
"mengik…",8
"sdh",8
"koptu",8
"yayan",8
"kau",8
"menerima",8
"sa…",8
"jadwal",8
"pas",8
"tubuh",8
"iya",8
"imun",8
"link",8
"badan",8
"rumah",8
"ajal",8
"kuasa",8
"maut",8
"airlangga",8
"ika",8
"suasana",8
"universita",8
"menteri",8
"biar",7
"vaksi…",7
"yuk",7
"sehat",7
"ganti",7
"pendampingan",7
"kedungwaringin",7
"b…",7
"ikuti",7
"okt",7
"cepat",7
"vak…",7
"banget",7
"pilah",7
"coronavac",7
"coba",7
"for",7
"s…",7
"member",7
"mcm",7
"sea",7
"kesihatan",7
"leh",7
"sbb",7
"kuce",7
"tidak…",7
"mengadakan",7
"polresta",7
"transma",7
"yasmin",7
"bodi",7
"diam",7
"kesah",7
"risk",7
"takp",7
"c…",7
"vaksina…",7
"kata²",7
"pecaya",7
"terpaksa",7
"urusan",7
"dink",6
"serka",6
"da…",6
"m…",6
"binaan",6
"disuntik",6
"giat",6
"pengamanan",6
"stok",6
"daerah",6
"diorang",6
"berusia",6
"jakaa",6
"gimana",6
"anj",6
"ktp",6
"polr",6
"nanya",6
"susah",6
"beredar",6
