"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @chanabyun: Program Sentra Vaksin Bersama INTI &amp; DINKES KAB BDG di Pabrik PT INTI Palasari, Jalan Moch Toha No.225 mulai tanggal 24 Sept…",FALSE,0,NA,2021-10-06 23:45:33,FALSE,NA,"1445898052988858371",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","obedpermadi",6,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 23:43:28,FALSE,NA,"1445897524611465226",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mieywhb",201,TRUE,FALSE,NA,NA
"RT @JPenerangan: Setiap jenis vaksin yang diterima oleh anda mempunyai fungsi yang sama iaitu mengurangkan risiko jangkitan. Oleh itu, elak…",FALSE,0,NA,2021-10-06 23:29:13,FALSE,NA,"1445893939467145218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lyra_fara",194,TRUE,FALSE,NA,NA
"Rabu, 06/10/2021 pukul 08.00 s.d selesai Serka Joko Waliman Babinsa Ds Bendo Koramil 13/ Sukodono lakgiat pendampin… https://t.co/uMlruEcNp9",FALSE,3,NA,2021-10-06 23:20:09,TRUE,NA,"1445891657564504079",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Koramil0725",0,FALSE,FALSE,NA,NA
"RT @SINDOnews: Pemprov DKI Sediakan 3 Jenis Vaksin untuk Ibu Hamil

 #Sindonews #BukanBeritaBiasa .https://t.co/TwgoZ4At1c",FALSE,0,NA,2021-10-06 23:18:00,FALSE,NA,"1445891117363314690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iim666",1,TRUE,FALSE,NA,NA
"Selasa, 5/10/2021 pukul 08.00 s.d selesai Kopda Agung Ariyadi Babinsa juwok Koramil 13/ Sukodono lakgiat pendamping… https://t.co/iQDPBknATa",FALSE,2,NA,2021-10-06 23:15:20,TRUE,NA,"1445890444848549890",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Koramil0725",0,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 23:10:47,FALSE,NA,"1445889300537565184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4bsurd1ty",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 23:06:10,FALSE,NA,"1445888140976144385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuur0039",201,TRUE,FALSE,NA,NA
"@indripsd Vaksin jenis apa?",FALSE,0,"indripsd",2021-10-06 22:59:13,FALSE,"1445650789356113922","1445886391703912448","1289157646164008960","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tangovanillaa",0,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 22:53:09,FALSE,NA,"1445884863165308929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haziqakashah",201,TRUE,FALSE,NA,NA
