score,text,klasifikasi
0, bisa di gor juga ya hari ini ada dosis  kuota dosis sampai jam siang atau di juanda terminal ada sinov…,Netral
-2,vaksin sinovac merupakan salah satu vaksin yang digunakan di indonesia lawan palsu vaksin ,Positif
0,rabu pukul sd selesai serka joko waliman babinsa ds bendo koramil sukodono lakgiat pendampin… ,Netral
0,informasi vaksin gratis kota palangkaraya kalimantan tengah selasa oktober sinovac kurio ,Netral
0,selasa pukul sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat pendamping… ,Netral
0,jog ada yang punya informasi tempat vaksin sinovac sama kalauboleh tau kelengkapan yang mesti dibawa ke lokasi vaksin a… ,Netral
0, bisa di gor juga ya hari ini ada dosis  kuota dosis sampai jam siang atau di juanda terminal… ,Netral
-6, sama nih minggu lalu vaksin sinovac alergi kambuh bersin biduran mata gatel eksim kambuh lagi,Negatif
0, reuni duo alumni waawan senior tempo dahlan iskan “saya vaksin sinovac hanya untuk ke mall” full youtube  h…,Negatif
2, informasi dong untuk vaksin ke sinovac dan yang boleh diluar ktp bandung kalauada yang jadwal vaksin besok juga saya gas terima kasih,Netral
-1,pasca vaksin sinovac dosis kedua dibulan maret tahun ini dan sering kontak dengan terkonfirm ,Negatif
3,semalam ambil vaksin sinovac dengan suami alhamdulillah rsa okay jedoakan kami sihat selalu ya semoga dengan vaksin ini jadi penawar,Positif
0,kelmarin ternampak iklan depan klinik swasta cucuk vaksin sinovac dosis rm ke ntah maigaddd sudah ada yang fre… ,Positif
0, yang mau vaksin ke jenis sinovac dan pfizer bisa langsung dateng ke rskh jatiasih ya temen …,Netral
1, lah saya suntik vaksin sinovac di sekolah alhamdulillah saya masih sehat sepei biasa hadeh ini orang… ,Positif
0, vaksin kedua sinovac dimana ya min ,Netral
-1,yang tau tempat vaksin sinovac kedua balas dong tolong tangerang saja,Netral
-1,proses dan manfaat vaksin sinovac lawan palsu vaksin ,Netral
1,kalian yang sudah vaksin sinovac dosis ke mengalami apa saja ayok berbagi aku mau vaksin hari jumat,Netral
2, berasal dari puskesmas pada dinas kesehatan kota ambon dan tim dari tni jenis vaksin yang digunakan yakni sinovac astr…,Netral
0, aku sudah mas dapatnya sinovac tapi kmren muridku vaksin dapatnya sepeinya mdern sejauh ini kipi nya… ,Positif
1, dosis sinovac mulaitahun ktpdomisili bebas tanggal oktober khusus pesea baru syarat vaksin sin…,Netral
-1,di gua si tidak ya gua vaksin yang sinovac dan efek nya cuma ngantuk parah sama laper terus ,Negatif
