"","klasifikasi","x"
"6","Positif","jog informasi vaksin sinovac kalauboleh lengkap mesti bawa lokasi vaksin a"
"11","Negatif","pasca vaksin sinovac dosis bulan kontak terkonfirm"
"14","Netral","vaksin jenis sinovac pfizer langsung dateng rskh jatiasih temen"
"24","Positif","malaysia terima bekal ama vaksin coronavac liter hantar k"
"27","Positif","vaksin sinovac aman"
"30","Negatif","rausah kakean polah asline iki ultraman mergo vaksin sinovac kuat ilang"
"38","Positif","pemerintah rakyat vaksin sinovac vaksin tidak berlaku mana"
"45","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang kabeh"
"49","Negatif","gimana kalaumau negri vaksin sinovac negar"
"53","Negatif","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat"
"62","Netral","dokter bilang vaksin sinovac nya maju mundur"
"65","Netral","jog jadwal vaksin sinovac siloam"
"76","Negatif","jadwal vaksin covid tangerang selatan jenis sinovac dosis"
"84","Positif","terusi analisis aefi juta vaksin profil selamat ba"
"86","Negatif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moder"
"87","Positif","team vaksinator satbrimob polda kalsel gelar serbu vaksin presisi pondok pesantren wali"
"91","Positif","laksana vaksinasi keliling tahap tahap keltanjung marulak hilir kecrambutan vaksin sinovac ut"
"93","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"98","Netral","cak ayo vaksin sinovac dosis ndek gressmall ikut vaksin ama sinovac ta a"
"104","Netral","ayo vaksin astrazeneca dosis sinovac dosis biddokkes polda kepri kepri mall"
"106","Netral","vaksinasi covid dosis laksana keluarga gawai lingkung sekretariat jenderal kpu"
"108","Negatif","sih nder kalauvaksin udah jenis sinovac vaksin nya sinovac bukan"
"109","Positif","benar temenmu kalausudah vaksin pakai sinovac tidak move vaksin"
"112","Netral","jenis vaksin sinovac astrazeneca moderna"
"116","Negatif","sinovac sinopharm inactivated whole virus ukur lab srbd"
"123","Netral","sinovac murah siap ro orang keluarga vaksin pandemi"
"128","Netral","impoir vaksin sinovac"
"131","Netral","orang peikai menteri diskriminasi orang vaccinated non vaccinated jenis vaksin kena discr"
"132","Netral","vaksin sinovac senjata utama republik indonesia penangana pandemi karantina republik indonesia in"
"133","Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk"
"134","Negatif","vaksinasi dosis drive thru fk kmk ugm gelar sleman komando distrik militer sleman b"
"140","Positif","informasi wajib baca giat vaksinasi masyarakat berlaku warga"
"145","Negatif","vaksinasi dosis drive thru fk kmk ugm gelar komando distrik militer sleman bekerjasama d"
"148","Netral","mohon informasi vaksin dosis sinovac gaa kalauada informasi mana"
"150","Positif","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin"
"158","Positif","puri nder vaksin jenis vaksin pfizer sinovac moderna"
"167","Positif","wkwk ajg twit ngomong nyari thread vaksin akun buzzer anti vacc block ngetwit doang wow"
"168","Positif","ayo dukung vaksinasi pandemi lalu patuh prokes m"
"169","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"170","Netral","tolong informasi vaksin sinovac pfizer"
"188","Negatif","besok juta hari rutin dapat sinovac tidak hat"
"189","Negatif","hahaha salah judul mah pemerintah sediain sinovac tidak pakai sinovac"
"190","Positif","kalauudah vaksin sinovac vaksin moderna pfizer tidak"
"193","Netral","cirebon informasi vaksin kota cirebon giat laksana abuh cirebon te"
"195","Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten ban"
"201","Positif","dips vaksin dosis coronavacsinovac disemarang ktp semarang tidak lihat web victori mar"
"203","Netral","vaksin astrazeneca sinovac dosis langsung tancap gas preston yaaaa"
"204","Netral","pas vaksin mba kemeng sinovac biru"
"206","Netral","aussie vaksin kak bukan tinggal indonesia syarat"
"207","Positif","iya negara teentu tidak terima turis vaksin sinovac jenis jenis variasi vaks"
"210","Positif","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis pe"
"214","Netral","vaksin astrazeneca sinovac"
"216","Netral","vaksin sinovac astrazeneca"
"219","Netral","wkwkw vaksin sinovac"
"222","Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandung l"
"224","Positif","mjb kalauudah vaksin sinovac kali vaksin booster vaksin sinovac"
"225","Positif","halo vaksin sinovac dosis udah tidak terima kasih"
"231","Negatif","sinovac pemerintah datang vaksin covid pfizer astrazeneca jalur komersial"
"240","Positif","vaksin sinovac vaksin nya moderna tu gaboleh"
"244","Positif","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sinovac"
"247","Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"250","Netral","vaksin sinovac"
"253","Negatif","vaksin sinovac panggil"
"257","Positif","teman mohon informasi ibu butuh vaksin vaksin ama sinovac perintah dokter"
"258","Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandun"
"261","Positif","mending temenku jenis vaksin kena covid teman nya te"
"268","Netral","w dapetnya sinovac vaksin banget emang salah muluu heran"
"272","Positif","iya awal vaksin dpet nya sinovac menu makan pilih pi"
"281","Netral","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sinovac melep"
"293","Negatif","vaksin nya sinovac kak hah"
"295","Negatif","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"296","Negatif","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"309","Positif","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"316","Netral","buka layan vaksin jenis sinovac halaman mako polsek kedungwaringin pkm kedungwaringin relawan va"
"318","Positif","anggota polsek babelan laksana giat aman giat vaksinasi merdeka berani dosis selenggara"
"321","Positif","informasi vaksinasi setiajaya toyota cimanggis depok periode jenis vaksin sinovac"
"322","Positif","ayo hadir gerai vaksin tni polri laksana w"
"327","Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"331","Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru st"
"332","Negatif","yup prancis belum aku vaksin sinovac"
"346","Netral","bhabinkamtibmas kalurahan maguwoharjo sambang pantau laksana vaksin tahap i sinovac warga padukuhan"
"348","Netral","vaksinasi tahap satu vaksin jenis sinovac orang ikut orang karena"
"357","Netral","angka efikasi sinovac peran wave junijuli kontra"
"364","Positif","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"366","Negatif","isteri covid lepas terima dosis sinovac bulan b"
"382","Positif","vaksinasi dosis ama jenis vaksin sinovac kapolres terang"
"388","Netral","vaksin ama dosis jenis sinovac"
"389","Negatif","nama vaksin kek sinovac astrazeneca"
"392","Positif","beempat panti sosial asuh anak psaa putra utama warga bina panti sosial bina remaja psbr terminal"
"393","Netral","informasi vaksin sinovac fase area pasuruan kota"
"397","Negatif","vaksin dosis astrazeneca sinovac"
"403","Positif","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sino"
"407","Netral","vaksin nya sinovac kalaudi sih nder"
"409","Positif","sayang rumah bekas cipayung cibubur ayo vaksin sinovac astrazeneca universitas dian nusantara"
"424","Negatif","charm vaksin sinovac rmupah lebar ring lebar berat tidak tidak tidak tidak tidak tidak tidak"
"427","Netral","informasi vaksinasi covid bandung vaksin sinovac dosis"
"428","Negatif","cek fakta edar kabar indonesia tipu china pakai vaksin sinovac simak fakta"
"440","Negatif","langsung rumah sakit layan vaksin kak emang datang biar d"
"441","Positif","mesti daftar pedulilindungi langsung dateng vaksin s"
"447","Netral","informasi link daftar jadwal vaksin dosis jenis pfizer sinovac bogor"
"474","Negatif","bukan tu mentioned ramai mati sbb vaksin sinovac tk mati lak brap"
"476","Netral","vaksin sinovac muhi coba cek barangkali kuota tutup daftar"
"480","Negatif","sesal pas ditawarin ibu pkm boster po mbak tidak papa nek in"
"481","Netral","efek dirasain vaksin klau moderna sinovac sih"
"484","Positif","indonesia vaksin emergency use listing terbit who diperlakuk"
"485","Negatif","iyayak indonesia tu mas kebnayakan sinovac astrazeneca moderna pfizer jarang"
