"","klasifikasi","x"
"6","Netral","jog informasi vaksin sinovac kalauboleh lengkap mesti bawa lokasi vaksin a"
"11","Negatif","pasca vaksin sinovac dosis bulan kontak terkonfirm"
"24","Positif","malaysia terima bekal ama vaksin coronavac liter hantar k"
"27","Netral","vaksin sinovac aman"
"38","Negatif","pemerintah rakyat vaksin sinovac vaksin tidak berlaku mana"
"49","Netral","gimana kalaumau negri vaksin sinovac negar"
"53","Netral","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat"
"87","Netral","team vaksinator satbrimob polda kalsel gelar serbu vaksin presisi pondok pesantren wali"
"104","Netral","ayo vaksin astrazeneca dosis sinovac dosis biddokkes polda kepri kepri mall"
"106","Netral","vaksinasi covid dosis laksana keluarga gawai lingkung sekretariat jenderal kpu"
"108","Netral","sih nder kalauvaksin udah jenis sinovac vaksin nya sinovac bukan"
"112","Netral","jenis vaksin sinovac astrazeneca moderna"
"116","Negatif","sinovac sinopharm inactivated whole virus ukur lab srbd"
"123","Positif","sinovac murah siap ro orang keluarga vaksin pandemi"
"131","Negatif","orang peikai menteri diskriminasi orang vaccinated non vaccinated jenis vaksin kena discr"
"132","Positif","vaksin sinovac senjata utama republik indonesia penangana pandemi karantina republik indonesia in"
"133","Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk"
"134","Netral","vaksinasi dosis drive thru fk kmk ugm gelar sleman komando distrik militer sleman b"
"158","Netral","puri nder vaksin jenis vaksin pfizer sinovac moderna"
"169","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"204","Negatif","pas vaksin mba kemeng sinovac biru"
"206","Negatif","aussie vaksin kak bukan tinggal indonesia syarat"
"210","Netral","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis pe"
"216","Netral","vaksin sinovac astrazeneca"
"231","Positif","sinovac pemerintah datang vaksin covid pfizer astrazeneca jalur komersial"
"272","Netral","iya awal vaksin dpet nya sinovac menu makan pilih pi"
"281","Netral","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sinovac melep"
"293","Netral","vaksin nya sinovac kak hah"
"296","Netral","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"309","Netral","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"316","Netral","buka layan vaksin jenis sinovac halaman mako polsek kedungwaringin pkm kedungwaringin relawan va"
"327","Netral","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"346","Positif","bhabinkamtibmas kalurahan maguwoharjo sambang pantau laksana vaksin tahap i sinovac warga padukuhan"
"348","Negatif","vaksinasi tahap satu vaksin jenis sinovac orang ikut orang karena"
"397","Netral","vaksin dosis astrazeneca sinovac"
"409","Netral","sayang rumah bekas cipayung cibubur ayo vaksin sinovac astrazeneca universitas dian nusantara"
"427","Netral","informasi vaksinasi covid bandung vaksin sinovac dosis"
"441","Netral","mesti daftar pedulilindungi langsung dateng vaksin s"
"447","Netral","informasi link daftar jadwal vaksin dosis jenis pfizer sinovac bogor"
"480","Negatif","sesal pas ditawarin ibu pkm boster po mbak tidak papa nek in"
"481","Netral","efek dirasain vaksin klau moderna sinovac sih"
