"","klasifikasi","x"
"755","Positif","aaa bangga salah vaccinator vaksin pfizersinovac astrazeneca selamat mesti"
"1336","Negatif","who belanda khusus aku vaksin sinovac seifikat dapat warga indonesia"
"1013","Positif","laksana vaksinasi massal dosis dosis vaksin sinovac gerai vaksin presisi polres brebes masuk"
"999","Negatif","euy na kalauvaksin bagus sinovac pfizer"
"1153","Positif","ndes vaksin ama vaksin langsung auditorium unnes sekar jenis v"
"258","Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandun"
"960","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"301","Netral","efektif efek samping takut"
"542","Negatif","bahan utama vaksin sinovac dna babi serum bayi belum lahir hidup d"
"1086","Positif","mama asma vaksin kak mending vaksin sinovac ringan moderna"
"798","Positif","jenis vaksin sih bagus hallo sobat ksr uns ramai bincang jenis vaksin bagus"
"335","Positif","efektif sinovac guru guru jakaa vaksin booster"
"868","Negatif","vaksin sinovac sok tas lu"
"1367","Positif","raja bangun pelan strategik bangun vaksin negara umum perdana menteri"
"787","Positif","rahmad dorong vaksin jenis sinovac aku who"
"405","Negatif","informasi vaksin malang ooo kak astrazeneca sinovac dosis informasi vaksin rumah clueless"
"580","Negatif","cek peduli lindung pke vaksin sinovac astrazeneca sinopharm"
"506","Negatif","iya ih wow susah tetangga vaksin dapat sinovac"
"592","Negatif","asline powerrenjes mergo bar vaksin sinovac kuat ilang"
"883","Netral","sinovac taon sesuk vaksin neh"
"1245","Netral","australia buka perbatasanpenerbangan internasional vaksin sinovac masuk oz kabar"
"778","Netral","jenis vaksin sinovac buka usia sintas covid tel"
"969","Positif","asma ambil sinovac aman vaksin skrining sehat"
"708","Negatif","informasi vaksin dosis sinovac malang kota terimakasih"
"16","Netral","vaksin sinovac mana"
"426","Netral","antri vaksin dom antri banding dufan plsss kenapaaa susah banget vaksin sinovac dom"
"67","Negatif","gausah dosis tempat vaksin sinovac"
"976","Netral","sinovac vaksin"
"1050","Negatif","iyaaa beneran tidak asa kepengen tidur banget standa ngomong ngomong pakai sinovac vaksin nya"
"920","Netral","bgr informasi vaksin sinovac besok tidak dosis makasii"
"1326","Netral","lur fess informasi vaksin sinovac dosis solo"
"391","Netral","butuh vaksin dosis astrazeneca sinovac langsung"
"1356","Netral","ngasi orang pinter banget abis vaksin istirahat bupak jangan capek moderna e"
"154","Positif","batituud koramil kradenan pelda supriyanto anggota monitoring serbu vaksinasi kodam ivdiponegoro w"
"1422","Netral","pgb ngadain sept vaksin sinovac"
"1068","Netral","informasi jadwal vaksin serpong kota tangerang dosis sinovac"
"1108","Netral","nyesel vaksin astrazeneca sinovac"
"216","Netral","vaksin sinovac astrazeneca"
"609","Netral","pahit manis ppv integrasi idcc shah alam beri vaksinasi samada vaksin"
"445","Netral","ayo massal jenis vaksin sinovac"
"94","Netral","umum vaksinasi dosis sinovac laksana puskesmas pakis ditund"
"1431","Negatif","ciputra world jadwal sinovac"
"658","Positif","beda merek vaksin beda isi pilih vaksin aman whole virus inactived sinovac coronavac sinopharm"
"1178","Netral","raja lulus vaksin sinovac remaja"
"695","Negatif","sinovac tidak laku roman sang juragan nakutin dunia pakai isu mutasi varian huahahaha"
"509","Negatif","serius sinovac efek ringan pkm cobak ngadain vak"
"605","Positif","udah vaksin sinovac vaksin booster moderna nakes"
"1008","Negatif","sinovac tidak sakit tipe orang udah vaksin beda sih"
"535","Positif","uwong uwong ki ngopo le vaksin milih milih sing sinovac ngene loh astrea"
"1478","Netral","vaksin sinovac"
"178","Positif","situbondo antusias masyarakat situbondo serbu vaksinasi covid dosis jenis vaksin sinovac"
"482","Negatif","vaksin tidak presiden stok vaksin stok sisa"
"963","Netral","bhabinkamtibmas lurah purwokinanti polsek pakualaman aipda sujiman laksana mantu"
"239","Positif","mohon maaf orang orang vaksin pas sinovac lu vaksin biar ma"
"18","Netral","proses manfaat vaksin sinovac lawan palsu vaksin"
"800","Netral","vaksin sinovac dosis salah informasi"
"1179","Negatif","sinovac dosis ajar smk dukuhturi suntik vaksin covid"
"956","Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas"
"637","Positif","vaksin skuyy"
"1339","Positif","data tahan sinovac vaksin belum umum terima vaksin"
"317","Negatif","duh bokap nyokap pakai sinovac pas kena covid otg tidak gejala temen pakai astrazeneca"
"667","Negatif","eropa tidak temen kantor gagal visa vaksin sinovac"
"1256","Positif","vaksin besuk bebas non domisili sinovac"
"1445","Positif","vaksin pantiwiloso vaksin sama sinovac"
"985","Netral","eh vaksin sinovac tahanya"
"1416","Netral","urg sinovac gin h abis vaksin jagjag isukna laleleus pis"
"804","Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ku ilang"
"1015","Negatif","rasah kokean ngece asline ki kuat bar vaksin sinovac kuat ilang"
"546","Negatif","bapa bimbang vaksin sinovac selamat kanakkanak remaja"
"1144","Positif","temen asma udah vaksin sinovac aman asma baik sgr vaksin temen"
"1434","Netral","polres madiun gelar serbu vaksinasi covid dosis vaksin sinovac sip masyarakat b"
"1282","Positif","kapolres brebes akbp faisal febrianto sik monitoring laksana giat vaksinasi mass"
"38","Positif","pemerintah rakyat vaksin sinovac vaksin tidak berlaku mana"
"1338","Positif","vaksin pfizer astrazeneca wilayah mustika jaya sini puskesmas mustika jaya sedia vaks"
"415","Negatif","biasakerja panas lagiaku sinovac wkwkwkallhamdulillah sinovac tidak efek samping tu"
"899","Negatif","vaksin besok sinovac pakai sinovac efek samping yalebih takut kena efek"
"187","Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh ka"
"50","Positif","besok vaksin sinovac dosis ktp bebas syarat dosis sinovac"
"279","Positif","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"540","Positif","besea keluarga vaksin sinovac usia"
"212","Netral","masuk akal asumsi booster vaksin virus lemah rangorang singapore"
"529","Netral","vaksin sinovac dosis ngantukan gin emang capek sih"
"1387","Positif","validasi sinovac who bukti vaksin aman ruji mutu"
"593","Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen beri booste"
"1436","Positif","vaksin sinovac smp halimun seifikat belum sedia cek pedulili"
"1203","Negatif","informasi vaksin covid bogor sinovac dosis puskesmas nanggung"
"723","Netral","gantung vaksin nder sinovac vaksin tidak efek"
"1212","Netral","guna vaksin coronavac keluar sinovac life sciences co ltd china pharmaniaga lifesciences sdn bhd ma"
"124","Netral","sdf rek informasi vaksin dosis sinovac area waru"
"120","Netral","ayo intip beda vaksin astrazeneca sinovac"
"844","Positif","ayo hadir gerai vaksin tni polri laksana"
"337","Positif","efektif sinovac guru guru jakaa vaksin booster unt"
"685","Positif","jakaa moderna pfizer sentra vaksin nunggu moderna kar"
"1197","Netral","jangan lupa ambil vaksin adikadik"
"581","Netral","hahaha inget talk shit about sinovac like tidak tidak"
"1074","Netral","adik ku ngatain lemah demam pasca vaksin vaksin tidak napa anj beda vaksin"
"639","Negatif","asline powerrenjes mergo bar vaksin sinovac kuat ilang"
"779","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang"
"244","Positif","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sinovac"
"1375","Positif","akang teteh sadayana punten informasi vaksin dosis ktp nya bukan bandung mana yah"
"1354","Negatif","china sumbang juta dosis vaksin covid coronavac sinovac tambah malaysia dasar pers"
"1156","Netral","pokok jarak vaksin sinovac astrazeneca"
"992","Netral","tolak mencret tki umroh pakai vaksin sinovac"
"722","Netral","via vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"1310","Negatif","kalauaku kmren dosis sinovac pegal ayo rada pusing abs vaksin langsung tidak"
"571","Positif","pharmaniaga bhd jamin bapa bahawa vaksin covid sinovac kanakkanak remaja"
"720","Negatif","pesawat positif loh mas"
"85","Negatif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moderna sinov"
"246","Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"145","Negatif","vaksinasi dosis drive thru fk kmk ugm gelar komando distrik militer sleman bekerjasama d"
"427","Netral","informasi vaksinasi covid bandung vaksin sinovac dosis"
"172","Netral","distribusi vaksin sinovac kawal babinsa"
"825","Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen pember"
"34","Positif","astrazeneca vaksin pakai pfizer kalaudi indonesia tidak sih sinovac"
"538","Netral","buru daftar link kuota batas vaksin nya jenis sinovac ge"
"780","Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ilang"
"1102","Netral","asl"
"1309","Negatif","istri vaksin ama covid sinovac dokumentasi video youtube s"
"261","Positif","mending temenku jenis vaksin kena covid teman nya te"
"1420","Netral","informasi vaksin sinovac daerah jakaa timur tolong"
"1469","Netral","h temen temen na vaksin jakaa barat sinovac tidak mana tlg reply thanks uuu"
"195","Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten ban"
"171","Positif","jenis vaksin sinovac moderna jenis vaksin bukti aman bantu kebal tubuh"
"1084","Netral","vaksin pakai sinovac"
"819","Positif","perlahan bukan vaksin astrazeneca rana kadar vaksin dosis ama lepas me"
"2","Netral","vaksin sinovac vaksin indonesia lawan palsu vaksin"
"939","Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne d"
