"","klasifikasi","x"
"1","Netral","gor dosis kuota dosis juanda terminal sinov"
"2","Netral","vaksin sinovac vaksin indonesia lawan palsu vaksin"
"3","Netral","sd selesai serka joko waliman babinsa ds bendo koramil sukodono lakgiat pendampin"
"4","Positif","informasi vaksin gratis kota palangkaraya kalimantan sinovac kurio"
"5","Netral","sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat damping"
"7","Netral","gor dosis kuota dosis juanda terminal"
"8","Negatif","vaksin sinovac alergi kambuh bersin bidur mata gatel eksim kambuh"
"9","Netral","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube h"
"10","Positif","informasi vaksin sinovac luar ktp bandung kalauada jadwal vaksin besok gas terima kasih"
"12","Positif","malam ambil vaksin sinovac suami alhamdulillah rsa okay jedoakan sihat moga vaksin penawar"
"13","Netral","kelmarin ternampak iklan klinik swasta cucuk vaksin sinovac dosis rm n maigaddd fre"
"15","Positif","suntik vaksin sinovac sekolah alhamdulillah sehat pei hadeh orang"
"16","Netral","vaksin sinovac mana"
"17","Negatif","vaksin sinovac balas tolong tangerang"
"18","Netral","proses manfaat vaksin sinovac lawan palsu vaksin"
"19","Positif","vaksin sinovac dosis alami ayok bagi vaksin"
"20","Positif","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac astr"
"21","Netral","mas dapat sinovac kmren murid vaksin dapat pei mdern kipi nya"
"22","Positif","dosis sinovac mulaitahun ktpdomisili bebas khusus pesea syarat vaksin sin"
"23","Negatif","tidak vaksin sinovac efek nya ngantuk parah laper"
"25","Negatif","orang nyebar palsu suntik vaksin covid sinovac kali sekolah alhamdulillah sehat pei"
"26","Negatif","vaksin sinovac aman booster moderna langsung hareudang"
"28","Positif","sumber langsung biar baca"
"29","Negatif","informasi vaksin sinovac dosis malang"
"31","Positif","vaksin pasti jenis vaksin sinovaccorona vac jarak vaksin ama vaksin"
"32","Positif","kabar vaksin sinovac vaksin sinovac dosis bukti hasil antibodi menetralisir varian"
"33","Negatif","gejala vaksin moderna parah banding vaksin sinovac demam"
"34","Positif","astrazeneca vaksin pakai pfizer kalaudi indonesia tidak sih sinovac"
"35","Netral","tinggal merah putih vaksin sinovac kak"
"36","Negatif","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat kik"
"37","Netral","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube"
"39","Netral","cepat vaksinasi rangka penanganan covid indonesia sehat laksana kantor kapanew"
"40","Positif","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac"
"41","Positif","informasi jadwal vaksin baru dosis sinovac kuota terminal bandara juanda gratis beras kg cek daftar"
"42","Negatif","st panel pn kaji teknologi sptotnya pakai virus btol mrna comes from dna copy of vir"
"43","Netral","lihat balas bilang sakit jujur tidak baik banget dri ama s"
"44","Netral","asline kuat boboboiy bar suntik vaksin sinovac winggi kuat dadi ilang kabeh"
"46","Netral","informasi vaksin sinovac dosis"
"47","Netral","vaksin astrazeneca sinovac"
"48","Netral","tau vaksin sinovac tidak kalauada vaksin sinovac"
"50","Positif","besok vaksin sinovac dosis ktp bebas syarat dosis sinovac"
"51","Positif","bhabinkamtibmas kalurahan bleberan bripka suparyanta monitoring vaksinasi warga kalurahan bina upt puskesmas i"
