"","score","text","klasifikasi","x"
"1",0," bisa di gor juga ya hari ini ada dosis kuota dosis sampai jam siang atau di juanda terminal ada sinov…","Netral"," bisa di gor juga ya hari ini ada dosis kuota dosis sampai jam siang atau di juanda terminal ada sinov…"
"2",0,"vaksin sinovac merupakan salah satu vaksin yang digunakan di indonesia lawan palsu vaksin ","Positif","vaksin sinovac merupakan salah satu vaksin yang digunakan di indonesia lawan palsu vaksin "
"3",0,"rabu pukul sd selesai serka joko waliman babinsa ds bendo koramil sukodono lakgiat pendampin… ","Netral","rabu pukul sd selesai serka joko waliman babinsa ds bendo koramil sukodono lakgiat pendampin… "
"4",1,"informasi vaksin gratis kota palangkaraya kalimantan tengah selasa oktober sinovac kurio ","Positif","informasi vaksin gratis kota palangkaraya kalimantan tengah selasa oktober sinovac kurio "
"5",0,"selasa pukul sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat pendamping… ","Netral","selasa pukul sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat pendamping… "
"7",0," bisa di gor juga ya hari ini ada dosis kuota dosis sampai jam siang atau di juanda terminal… ","Netral"," bisa di gor juga ya hari ini ada dosis kuota dosis sampai jam siang atau di juanda terminal… "
"8",-6," sama nih minggu lalu vaksin sinovac alergi kambuh bersin biduran mata gatel eksim kambuh lagi","Negatif"," sama nih minggu lalu vaksin sinovac alergi kambuh bersin biduran mata gatel eksim kambuh lagi"
"9",0," reuni duo alumni waawan senior tempo dahlan iskan “saya vaksin sinovac hanya untuk ke mall” full youtube h…","Negatif"," reuni duo alumni waawan senior tempo dahlan iskan “saya vaksin sinovac hanya untuk ke mall” full youtube h…"
"10",3," informasi dong untuk vaksin ke sinovac dan yang boleh diluar ktp bandung kalauada yang jadwal vaksin besok juga saya gas terima kasih","Netral"," informasi dong untuk vaksin ke sinovac dan yang boleh diluar ktp bandung kalauada yang jadwal vaksin besok juga saya gas terima kasih"
"12",4,"semalam ambil vaksin sinovac dengan suami alhamdulillah rsa okay jedoakan kami sihat selalu ya semoga dengan vaksin ini jadi penawar","Positif","semalam ambil vaksin sinovac dengan suami alhamdulillah rsa okay jedoakan kami sihat selalu ya semoga dengan vaksin ini jadi penawar"
"13",0,"kelmarin ternampak iklan depan klinik swasta cucuk vaksin sinovac dosis rm ke ntah maigaddd sudah ada yang fre… ","Netral","kelmarin ternampak iklan depan klinik swasta cucuk vaksin sinovac dosis rm ke ntah maigaddd sudah ada yang fre… "
"15",1," lah saya suntik vaksin sinovac di sekolah alhamdulillah saya masih sehat sepei biasa hadeh ini orang… ","Positif"," lah saya suntik vaksin sinovac di sekolah alhamdulillah saya masih sehat sepei biasa hadeh ini orang… "
"16",0," vaksin kedua sinovac dimana ya min ","Netral"," vaksin kedua sinovac dimana ya min "
"17",-1,"yang tau tempat vaksin sinovac kedua balas dong tolong tangerang saja","Netral","yang tau tempat vaksin sinovac kedua balas dong tolong tangerang saja"
"18",0,"proses dan manfaat vaksin sinovac lawan palsu vaksin ","Positif","proses dan manfaat vaksin sinovac lawan palsu vaksin "
"19",2,"kalian yang sudah vaksin sinovac dosis ke mengalami apa saja ayok berbagi aku mau vaksin hari jumat","Netral","kalian yang sudah vaksin sinovac dosis ke mengalami apa saja ayok berbagi aku mau vaksin hari jumat"
"20",2," berasal dari puskesmas pada dinas kesehatan kota ambon dan tim dari tni jenis vaksin yang digunakan yakni sinovac astr…","Netral"," berasal dari puskesmas pada dinas kesehatan kota ambon dan tim dari tni jenis vaksin yang digunakan yakni sinovac astr…"
"21",0," aku sudah mas dapatnya sinovac tapi kmren muridku vaksin dapatnya sepeinya mdern sejauh ini kipi nya… ","Positif"," aku sudah mas dapatnya sinovac tapi kmren muridku vaksin dapatnya sepeinya mdern sejauh ini kipi nya… "
"22",1," dosis sinovac mulaitahun ktpdomisili bebas tanggal oktober khusus pesea baru syarat vaksin sin…","Netral"," dosis sinovac mulaitahun ktpdomisili bebas tanggal oktober khusus pesea baru syarat vaksin sin…"
"23",-1,"di gua si tidak ya gua vaksin yang sinovac dan efek nya cuma ngantuk parah sama laper terus ","Negatif","di gua si tidak ya gua vaksin yang sinovac dan efek nya cuma ngantuk parah sama laper terus "
"25",-1," yaelah ini orang nyebar palsu saya aja disuntik vaksin covid sinovac kali di sekolah alhamdulillah saya masih sehat sepei biasa","Positif"," yaelah ini orang nyebar palsu saya aja disuntik vaksin covid sinovac kali di sekolah alhamdulillah saya masih sehat sepei biasa"
"26",-1," aku vaksin sinovac aman² aja si tapi booster moderna langsung hareudang hari ","Negatif"," aku vaksin sinovac aman² aja si tapi booster moderna langsung hareudang hari "
