"","X","klasifikasi","x"
"1",450,"Positif","dibalerame dibatalin vaksinasi stadion jalak harupat vaksin sinovac"
"2",346,"Netral","bhabinkamtibmas kalurahan maguwoharjo sambang pantau laksana vaksin tahap i sinovac warga padukuhan"
"3",336,"Positif","vaksin udah h ngantuk mulu pegal badan efek gin"
"4",1271,"Positif","butuh booster a suntik vaksin coba kelinci kitakita"
"5",859,"Netral","ajar cilacap suntik vaksin covid dosis ama jenis sinovac meninj"
"6",174,"Negatif","ponakan mumpung dibolehin vaksin pilih pfizer instead of moderna pas boleh moderna takut takut sa"
"7",1477,"Positif","pmi kabupaten klaten gelar vaksin covid jenis vaksin sinovac gratis laksana balai de"
"8",1093,"Netral","vaksin sinovac"
"9",546,"Negatif","bapa bimbang vaksin sinovac selamat kanakkanak remaja"
"10",1160,"Netral","ko seremm vaksin sinovac"
"11",91,"Positif","laksana vaksinasi keliling tahap tahap keltanjung marulak hilir kecrambutan vaksin sinovac ut"
"12",82,"Netral","vaksin sinovac daftar orang registrasi orang vaksin"
"13",381,"Positif","tidak vaksin k pas reddays vaksin sinovacefeknya ngantuk laper"
"14",978,"Netral","australia buka batas traveler vaksin sinovac boleh masuk sa"
"15",121,"Positif","terusi analisis aefi juta vaksin profil lama"
"16",1318,"Netral","koramil tng mngdkan vaksinasi dosis jenis sinovac hlm lurah cimone jaya rangka"
"17",620,"Positif","mjb bantu who belum aku vaksin tsb vaksin tsb cu"
"18",618,"Netral","teman informasi vaksin sinovac daerah tangerang dosis belum nemu"
"19",1242,"Netral","alhamdulillah lepas cucuk vaksin sinovac cari self reward"
"20",432,"Positif","jenis vaksin vaksin sinovac astrazeneca pfizer moderna nb i cant mentioned all of types but this is terminal"
"21",269,"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"22",1176,"Negatif","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac pasca sun"
"23",313,"Negatif","asem nek ono informasi vaksin sinovac dosis tidak ribet kabar yak"
"24",72,"Positif","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"25",127,"Positif","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis a"
"26",890,"Positif","vaksin sinovac tidak efek konsul dokter kalaulg tidak kambuh kondisi sehat tidak vaksin"
