"","klasifikasi","x"
"450","Positif","dibalerame dibatalin vaksinasi stadion jalak harupat vaksin sinovac"
"346","Netral","bhabinkamtibmas kalurahan maguwoharjo sambang pantau laksana vaksin tahap i sinovac warga padukuhan"
"336","Positif","vaksin udah h ngantuk mulu pegal badan efek gin"
"1271","Positif","butuh booster a suntik vaksin coba kelinci kitakita"
"859","Netral","ajar cilacap suntik vaksin covid dosis ama jenis sinovac meninj"
"174","Negatif","ponakan mumpung dibolehin vaksin pilih pfizer instead of moderna pas boleh moderna takut takut sa"
"1477","Positif","pmi kabupaten klaten gelar vaksin covid jenis vaksin sinovac gratis laksana balai de"
"1093","Netral","vaksin sinovac"
"546","Negatif","bapa bimbang vaksin sinovac selamat kanakkanak remaja"
"1160","Netral","ko seremm vaksin sinovac"
"91","Positif","laksana vaksinasi keliling tahap tahap keltanjung marulak hilir kecrambutan vaksin sinovac ut"
"82","Netral","vaksin sinovac daftar orang registrasi orang vaksin"
"381","Positif","tidak vaksin k pas reddays vaksin sinovacefeknya ngantuk laper"
"978","Netral","australia buka batas traveler vaksin sinovac boleh masuk sa"
"121","Positif","terusi analisis aefi juta vaksin profil lama"
"1318","Netral","koramil tng mngdkan vaksinasi dosis jenis sinovac hlm lurah cimone jaya rangka"
"620","Positif","mjb bantu who belum aku vaksin tsb vaksin tsb cu"
"618","Netral","teman informasi vaksin sinovac daerah tangerang dosis belum nemu"
"1242","Netral","alhamdulillah lepas cucuk vaksin sinovac cari self reward"
"432","Positif","jenis vaksin vaksin sinovac astrazeneca pfizer moderna nb i cant mentioned all of types but this is terminal"
"269","Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"1176","Negatif","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac pasca sun"
"313","Negatif","asem nek ono informasi vaksin sinovac dosis tidak ribet kabar yak"
"72","Positif","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"127","Positif","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis a"
"890","Positif","vaksin sinovac tidak efek konsul dokter kalaulg tidak kambuh kondisi sehat tidak vaksin"
"1451","Netral","halo depok citayem raya informasi vaksin sinovac banget citayam center lgsg cus"
"1198","Positif","mesyuarat kuasa kawal dadah kelulus syarat guna vaksin keluar sinovac remaja be"
"509","Negatif","serius sinovac efek ringan pkm cobak ngadain vak"
"103","Negatif","kalauvaksin ama sinovac vaksin sinovac kah"
"542","Negatif","bahan utama vaksin sinovac dna babi serum bayi belum lahir hidup d"
"236","Netral","jangan ngaku kuat yen vaksin mu iseh sinovac"
"421","Positif","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sin"
"633","Negatif","halo barangkali admin followersnya informasi vaksin dosis sinovac uin malang tunda"
"1058","Netral","sinovac suruh vaksin dokter nya"
"583","Netral","ayo massal jenis vaksin sinovac"
"666","Netral","tante udah tidak vaksin kesel banget udah gapapa mumpung sinovac pakai alesan bany"
"32","Positif","kabar vaksin sinovac vaksin sinovac dosis bukti hasil antibodi menetralisir varian"
"84","Positif","terusi analisis aefi juta vaksin profil selamat ba"
"404","Positif","vaksin moderna tidak pilih sinovac pfizer astrazeneca booster vaksin covid a"
"960","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"1284","Netral","uaf teman mana vaksin sinovac"
"1165","Negatif","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac pasca"
"973","Negatif","iki asline power ranger pinkgra vaksin sinovac kuat q ilang"
"624","Netral","mjb iya rencana jepang lanjur vaksin sinovac bing"
"1371","Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"165","Positif","belum vaksin rek vaksin dosis vaksin dosis sinovac umur atas"
"764","Netral","vaksin sinovac telah positif covid sembuh"
"1072","Netral","gapapa jarak vaksin at least sinovac jarak"
"751","Positif","dosis vaksin sinovac vaksinasi tahap i i ajar mukomuko besok"
"795","Positif","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia bawa foto"
"852","Positif","vaksin sinovac aman aman ajaa badan vaksin moderna astagaaaaa tidak deh ampun bgtt sakitnyaaa"
"219","Netral","wkwkw vaksin sinovac"
"1128","Netral","efek vaksin sinovac rasa ngantukan ttapi k ngantukan in"
"133","Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk"
"723","Netral","gantung vaksin nder sinovac vaksin tidak efek"
"914","Netral","mohon tunggu balas whatsapp panitia kait kak in"
"85","Negatif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moderna sinov"
"951","Netral","asma vaksin pakai sinovac sihh kali"
"570","Netral","naahhh mksdnya iya dok bahan"
"216","Netral","vaksin sinovac astrazeneca"
"1037","Positif","vaksin kali kena c word gejala ringan untung pas pakai vaksin sinovac gampang l"
"416","Positif","belum vaksin covid sedia indonesia anak jubir vaksinasi covi"
"936","Netral","wuahahaahah ama vaksin moderna wkwkwkwk kirain sinovac"
"88","Netral","nyata akhbar menteri kesihatan malaysia kuasa kawal dadah pbkd bermesyuarat"
"201","Positif","dips vaksin dosis coronavacsinovac disemarang ktp semarang tidak lihat web victori mar"
