"","klasifikasi","x"
"1017","Positif","mjb pacar asma slesai vaksin dosis pakai vaksin sinovac alhamdu"
"679","Negatif","benar sih kakak vaksin sinovac ngeri tetangga dapet astrazeneca mual parah"
"129","Netral","yaallah nonton konser vaksin sinovac"
"930","Positif","laksana vaksinasi rentak tahap vaksin sinovac laksana polsek rambutan camat rambutan kota te"
"471","Positif","tidak nder ngulang vaksin kalauvaksinnya sinovac jrk vaksin k"
"299","Netral","pakai vaksin tugw alergi parah kek kiriruam gatel banget kek kanan tidak bn"
"270","Negatif","pakai sinovac vaksin ama pegal banget vaksin pegal dosis"
"1211","Positif","teman teman tugas wawancara kriteria belum vaksin sinovac"
"1331","Netral","informasi vaksin sinovac dosis dongg umsfess"
"597","Netral","meriang selesai minum bodrex sembuh saran kalauseperti mama pas"
"1301","Netral","kanggo kancakanca brebes l sekitare laksana"
"330","Negatif","tidak vaksin ama astrazeneca sinovac trauma banget abis vaksin astrazeneca rada nyiksa"
"37","Netral","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube"
"1129","Netral","alhamdulilah vaksin sinovac kali"
"729","Negatif","cansino sputnik v indonesia jenis pfizer moderna johnson astrazeneca sinovac sinopharm beijing cansino sput"
"878","Positif","hitung sentra vaksinasi l jakaa layan beri vaksin dosis jenis"
"485","Negatif","iyayak indonesia tu mas kebnayakan sinovac astrazeneca moderna pfizer jarang"
"874","Negatif","dosis sinovac telat kynya lihat jadwal bulan kak gila yah tidak jenis"
"382","Positif","vaksinasi dosis ama jenis vaksin sinovac kapolres terang"
"975","Negatif","rasah kakean cangkemasline ki superman wing bar vaksin sinovac kuat ilang"
"801","Negatif","tipu la korang benda bukan flex takde tu auto orang lari beb credit"
"852","Positif","vaksin sinovac aman aman ajaa badan vaksin moderna astagaaaaa tidak deh ampun bgtt sakitnyaaa"
"931","Negatif","yb nak request second dose sinovac kontak rapat haritu so kansel appointment c d"
"326","Netral","keluarga beda merk vaksin sinovac adek pfizer astrazeneca kakak moderna semu"
"1473","Positif","vaksin pakai pfizer moderna efek pakai sinovac astrazeneca ndak"
"554","Negatif","tidak sih abis vaksin sinovac badan keringet dingin mulu gemetar kirakira"
"1446","Negatif","pemerintah aljazair produksi vaksin covid kembang usaha tiongkok sinovac kapasitas"
"111","Positif","gratis vaksin sinovac moderna pfizer hamil"
"1428","Positif","kesal belum vaksin daftar vaksin moderna pas cek tugas nik daftar seif"
"532","Netral","reposted from vaksinasi covid dosis laksana keluarga gawai l"
"556","Negatif","ora le lemah i jane ultramen bar suntik vaksin sinovac kuat ilang"
"889","Negatif","vaksin sinovac tidak mubazir nidom sar evaluasi efektif v"
"343","Positif","preston kak vaksin dosis sinovacastra bisaaaa"
"582","Negatif","halo sahabat rumah sakit baptis batu jadwal pesea vaksin c sinovac tunda ayan"
"1145","Positif","ndes vaksin ama vaksin langsung auditorium unnes sekar jenis vaksin"
"40","Positif","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac"
"537","Positif","sinovac dosis ku tang pegal banget ngantuk banget hari abis vaksin besok"
"375","Positif","belum vaksin jenis vaksin sinovac"
"248","Negatif","tahap pemerintah datang juta dosis vaksin covid sinovac"
"1222","Positif","iya benar emang efek vaksin sinovac laper"
"378","Netral","unit binmas pimpin panit binnas aiptu parjiati babhinkamtibmas gayamharjo prambanan sleman laksana pe"
"39","Netral","cepat vaksinasi rangka penanganan covid indonesia sehat laksana kantor kapanew"
"435","Positif","vaksin jenis graph sibu case spike vaksin jenis sinovac didn"
"810","Netral","sok gamau vaksin pakai sinovac mau moderna pfizer puskesmas jangan a"
"1414","Negatif","imunogenisitas vaksin sinovac turun persen ama kali suntik"
"1304","Netral","sd islamic center brebes vaksinasi"
"526","Positif","juta dosis vaksin remaja lingkung usia china pharmaniaga"
"642","Positif","sinovac udah sek napas pas abis vaksin untung bentar doang sih normal"
"1069","Netral","sinovac aman pas moderna abis sakit tidak vaksin pas vaksin sinovac in"
"1426","Positif","jog vaksin gratis bawa fc ktp jenis sinovac"
"22","Positif","dosis sinovac mulaitahun ktpdomisili bebas khusus pesea syarat vaksin sin"
"193","Netral","cirebon informasi vaksin kota cirebon giat laksana abuh cirebon te"
"1395","Netral","review vaksin sinovac dosis jarum rasa dosis"
"499","Negatif","sinovac katanyaa sih meg berkat kemenkes kalautidak nunggu setel"
"1128","Netral","efek vaksin sinovac rasa ngantukan ttapi k ngantukan in"
"1350","Netral","kapolsek bulu akp banuari pantau cepat vaksin sinovac dosis i i sasar lansia a masyarakat"
"983","Positif","kakakkakak ku asma kak and alhamdulillah sudahhvaksin dapat"
"843","Negatif","informasi vaksin covid massal bogor puskesmas cinagara pakai pfizer sinovac"
"465","Netral","anggota koramil kaligesing kodim purworejo serma wahyudi laksana monitorng beri vaksin sinovac"
"996","Netral","therapeutic goods administration vaksin sinovac astrazeneca masuk daftar vaksin covid"
"1200","Positif","ayo buru vaksin belum dosis pfizer dosis vaksin"
"1369","Positif","halo sobat polri masyarakat ktp sekoharjo sapa belum vaksin klinik param"
"1134","Negatif","hallo vaksin dosis sinovac vaksin ulang guna"
"84","Positif","terusi analisis aefi juta vaksin profil selamat ba"
"1053","Positif","hooh mknya tidak vaksin astrazeneca pindah sinovac alhamdulillah tidak cmn pegal ditgn pas"
"1165","Negatif","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac pasca"
"252","Netral","jadwal daftar pesea vaksin sinovac polres magelang"
"733","Positif","tidak uk tau hajiumroh minimal vaksin nya astrazeneca k"
"620","Positif","mjb bantu who belum aku vaksin tsb vaksin tsb cu"
"1328","Negatif","vaksin sinovac sok keras astrazeneca bos senggol"
