"","klasifikasi","x","Predicted"
"371","Netral","vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis syarat jadwal l","Netral"
"1343","Netral","vaksin dosis ama sinovac biofarma seifikat diprint","Netral"
"254","Netral","buka sempat vaksin dosis sinovac khusus warga sukoharjo vaksin warga","Netral"
"548","Netral","kayak teori indonesia pakai sinovac biar vaksin ind","Netral"
"1010","Negatif","kak asma udah vaksin sebenernya bandel jangan tiru hehe","Positif"
"1214","Positif","raja lulus guna vaksin sinovac remaja malaysianow","Positif"
"1240","Netral","informasi vaksin sinovac pfizer bogor puskesmas sukajaya masyarakat","Netral"
"538","Netral","buru daftar link kuota batas vaksin nya jenis sinovac ge","Netral"
"1046","Negatif","efikasi vaksin sinovac indonesia turun persen persen vaksin booster jenis vaksin covi","Negatif"
"66","Netral","informasi vaksin sinovac bandung teman lokasi isbi bdg langsung link","Netral"
"712","Positif","mukomuko siap dosis vaksin sinovac ajar news bengkulu","Netral"
"419","Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh","Negatif"
"793","Positif","situbondo gencar serbu vaksinasi covid dosis jenis vaksin sinovac astrazeneca kegiata","Netral"
"1279","Netral","giat vaksinasi massal masyarakat brebes gerai vaksin presisi polres brebes dosis ama d","Netral"
"107","Negatif","anti banget vaksin ujungujungnya suruh milih sinovac astrazeneca moderna pilih jat","Netral"
"13","Positif","kelmarin ternampak iklan klinik swasta cucuk vaksin sinovac dosis rm n maigaddd fre","Netral"
"1237","Positif","lulus vaksin remaja","Netral"
"401","Negatif","iya full ikut anjuran pemerintah sinovac kak nami respon tubuh ku nyeri","Negatif"
"311","Negatif","soal serius campur dosis vaksin nampak kat tiktok sbb orang tu dosis sinovac tanah arab","Netral"
"1174","Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne","Netral"
"823","Positif","tahan badan je awak amik pfizer takde effect langsung effect dem","Netral"
"1118","Positif","adakan vaksin vaksin gelombang sinovac","Netral"
"694","Positif","dapet kuota vaksin sinovac pfizer astrazeneca johnson johnson pemerintah me","Netral"
"48","Netral","tau vaksin sinovac tidak kalauada vaksin sinovac","Netral"
"1263","Negatif","temen ku vaksin nya beda loh bukan sinovac malas jelasin nya ah","Negatif"
"1482","Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin peduli keluarga","Positif"
"1360","Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share","Netral"
"1202","Netral","kalauchip gin vaksin sih serius na mak kalausinovac kayak tidak deh","Negatif"
"1005","Netral","informasi vaksin covid bogor sinovac dosis puskesmas ciomas rahayu masyarakat","Netral"
"291","Negatif","comment nder vaksin sinovac potensi titan biar ketar tir aneh emang top","Netral"
"1299","Netral","tapi booster merk vaksin pakai kali","Netral"
"525","Netral","b sih urang mah soalna urang beurang vaksin sinovac kadua","Netral"
"355","Netral","aman datang vaksin sinovac jakaa pesawat lion air jt bawa","Positif"
"875","Positif","temen ngetwit vaksin sinovac untung sih tidak kayak","Negatif"
"433","Netral","daftar link daftar","Netral"
"78","Negatif","tidak bang gimana singapur ketat datang m","Netral"
"394","Negatif","asma udah vaksin sinovac kali badan nyeri demam","Negatif"
"590","Negatif","oooooo suntik sinovac tidak demam kakak kayak vaksin astrazeneca efek samping mi","Negatif"
"1105","Netral","informasi vaksin sinovac mustika jaya bantu repost","Netral"
"168","Positif","ayo dukung vaksinasi pandemi lalu patuh prokes m","Netral"
"1448","Positif","bismillah vaksin sinovac","Netral"
"1092","Positif","ayo vaksin temen sinovac ngantuk laperan doang beneran deh","Negatif"
"970","Netral","cuman pas suntik vaksin ama beda btwgua dosis ama sinovac astrazeneca","Netral"
"376","Netral","mohon informasi vaksin dosis sinovac area sidoarjo","Netral"
"1425","Negatif","ananda smp alami sakit dada sebelah kiri pasca vaksin dosis p","Netral"
"853","Positif","imunisasi covid guna vaksin coronavac keluar sinovac life sciences co ltd china pharmaniaga lifesciences","Positif"
"621","Netral","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca beri","Netral"
"377","Netral","bolehh kalauragu pending gapapa pei pas w vaksin sinovac ama tugas ngasi","Netral"
"232","Positif","juta dosis vaksin covid sinovac bentuk tanah air","Positif"
"59","Negatif","iyap sinovac tidak aku singapur kaya eropa tidak vaksin ulang modernapfizer","Negatif"
"83","Netral","kandano i cek ndang vaksin sinovac jare","Netral"
"642","Negatif","sinovac udah sek napas pas abis vaksin untung bentar doang sih normal","Negatif"
"860","Netral","eh cu udah vaksin kah k mana oh sinovac kah iya selesai","Netral"
"251","Negatif","sumpah anjing pakai sinovac kesel lu untung vaksin orang jangan pilih pilih vak","Negatif"
"597","Negatif","meriang selesai minum bodrex sembuh saran kalauseperti mama pas","Positif"
"1061","Positif","nihhh vaksin sinovac pribadi tidak samsek rada pegal tidak ganggu ngant","Negatif"
"1346","Netral","mjb tidak jadwal vaksin dosis sinovac bina sehat emng tidak tru","Netral"
"1080","Positif","sayang koleksi data bukti","Netral"
"596","Positif","putus australia aku vaksin sinovac angin segar wisatawan internasional asal","Positif"
"170","Netral","tolong informasi vaksin sinovac pfizer","Netral"
"136","Positif","syukur alhamdulillah udah baik emang baik istirahat abis vaksin","Positif"
"921","Positif","asam lambung aman udah kali vaksinn pakai sinovac vaksin makan","Positif"
"1067","Positif","iya pakai vaksin sinovac tidak kena asma izin vaksin","Positif"
"259","Positif","wahhh anak sinovac ama tidak sik normal","Netral"
"114","Netral","mukomuko terima tambah dosis vaksin sinovac news bengkulu","Netral"
"1044","Positif","pemerintah arab saudi aku guna vaksin sinovac jamaah umroh indonesia","Positif"
"1104","Netral","informasi vaksin sinovac dosis dongss","Netral"
"1307","Netral","nder vaksin sinovac saranin jangan pergi tubuhm","Netral"
"765","Negatif","seifikat vaksin tidak tulis sinovac musti coronavac tidak diakuin","Netral"
"953","Netral","vaksin sinovac unmul syarat jadwal cp cek foto link","Netral"
"1316","Netral","panjang sd islamic center","Netral"
"610","Negatif","just informasi teman vaksin atur mana i vaksin nya jangan sinovac mostl","Netral"
"315","Negatif","aneh kemarenkemaren tidak vaksin dikatain udah vaksin ratara","Netral"
"188","Positif","besok juta hari rutin dapat sinovac tidak hat","Positif"
"686","Negatif","kayak teori indonesia pakai sinovac biar vaksin apalag","Netral"
"665","Negatif","papua at least udah vaksin sih sinovac smua","Netral"
"212","Negatif","masuk akal asumsi booster vaksin virus lemah rangorang singapore","Netral"
"436","Netral","vaksin sinovac umur kah","Netral"
"1395","Negatif","review vaksin sinovac dosis jarum rasa dosis","Netral"
"307","Netral","selamat admin mohon informasi lapor kipi vaksin sinovac kontak","Netral"
"1283","Netral","rumah sakit akademik ugm buka tenda vaksin gedung utara kuota vaksin sinovac dosis","Netral"
"780","Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ilang","Negatif"
"535","Negatif","uwong uwong ki ngopo le vaksin milih milih sing sinovac ngene loh astrea","Negatif"
"520","Netral","geger vaksin srimulyo jilid i kapanewon piyungan gor p","Netral"
"691","Netral","hai nak walkin second dose klinik kesihatan kuala lumpur klinik kesihatan menawarkan","Netral"
